variant,date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
q2_neutral,2025-02-01,30816.49621787039,30809.017505870357,0.0,0.0,0.0,7.4787120000276675,3.856000000009846,3189.1398018077703,1200.0,10800.0,1
q2_neutral,2025-02-02,60210.65913823531,60210.65913823531,0.0,0.0,0.0,4.898714056622566e-11,1.2701839580131493e-11,7011.181836258933,10800.0,4212.741393934386,0
q2_neutral,2025-02-03,62996.16105859386,62794.89963624165,0.0,0.0,0.0,201.26142235222957,83.5302242873049,3860.1341434279816,4212.741393934386,3044.060445329707,0
q2_neutral,2025-02-04,63228.61041623823,63228.61041623815,0.0,0.0,0.0,8.25505335200205e-11,1.994671094962541e-11,2566.7472138749167,3044.060445329707,2498.180707244428,0
q2_neutral,2025-02-05,63373.19231613078,63343.33197113071,0.0,0.0,0.0,29.860345000076805,13.875625000018148,2887.4668076994417,2498.180707244428,2554.6532781613832,0
q2_neutral,2025-02-06,64034.358619787374,64034.35861978728,0.0,0.0,0.0,7.408853488089645e-11,1.4838920023296787e-11,4061.296056561708,2554.6532781613832,3220.1434157407425,0
q2_neutral,2025-02-07,17357.723606381413,17310.497684823044,0.0,0.0,0.0,47.22592155836868,27.15694166667906,6634.276808054984,3220.1434157407425,2101.6963423933853,0
q2_neutral,2025-02-08,17350.24884670062,17350.248846700593,0.0,0.0,0.0,2.935833684492017e-11,8.825294661729544e-12,5695.599982382918,2101.6963423933853,2465.010429972337,0
q2_neutral,2025-02-09,61913.62961279054,61913.62961279049,0.0,0.0,0.0,7.94703580442313e-11,1.831010343344985e-11,1388.0780192922623,2465.010429972337,3563.288743651434,0
q2_neutral,2025-02-10,59973.27430118067,59973.274301180645,0.0,0.0,0.0,3.6524463897791294e-11,9.766853992232427e-12,7346.011363180269,3563.288743651434,3509.3996708541754,0
q2_neutral,2025-02-11,59672.6373409206,59672.63734092054,0.0,0.0,0.0,7.519710432113414e-11,1.7530421558831222e-11,5761.724296330007,3509.3996708541754,3362.880891302551,0
q2_neutral,2025-02-12,58886.51740025502,58886.51740025497,0.0,0.0,0.0,5.391304719326584e-11,1.263733562240077e-11,4840.968400177223,3362.880891302551,3244.587505065152,0
