mode,date,interval,ordinary_kwh,emergency_kwh
q2,2025-03-20,60,0.0,1.7763568394002505e-13
q2,2025-03-20,72,591.573819444444,0.0
q2,2025-03-20,84,0.0,4.298783551348606e-13
q2,2025-03-20,96,490.5644694444444,0.0
q2,2025-03-20,108,0.0,0.0
q2,2025-03-20,120,722.1107569444445,0.0
q2,2025-06-21,60,0.0,0.0
q2,2025-06-21,72,0.0,0.0
q2,2025-06-21,84,0.0,0.0
q2,2025-06-21,96,417.1482150793648,0.0
q2,2025-06-21,108,13.248972619049596,5.115907697472721e-13
q2,2025-06-21,120,0.0,0.0
q2,2025-09-23,60,0.0,0.0
q2,2025-09-23,72,0.0,0.0
q2,2025-09-23,84,0.0,0.0
q2,2025-09-23,96,582.289975992064,4.0945025148175773e-13
q2,2025-09-23,108,0.1648263888890824,0.0
q2,2025-09-23,120,680.0080138888889,2.842170943040401e-13
q2,2025-12-21,60,0.0,1.7053025658242404e-13
q2,2025-12-21,72,917.6861416666663,0.0
q2,2025-12-21,84,0.0,2.842170943040401e-13
q2,2025-12-21,96,1578.7116944444442,0.0
q2,2025-12-21,108,736.1695736111112,0.0
q2,2025-12-21,120,0.0,1.1368683772161605e-13
q3,2025-03-20,60,0.0,0.0
q3,2025-03-20,72,481.6017524030896,0.0
q3,2025-03-20,84,0.0,4.298783551348606e-13
q3,2025-03-20,96,577.3833555555556,0.0
q3,2025-03-20,108,0.0,0.0
q3,2025-03-20,120,719.2551833333332,0.0
q3,2025-06-21,60,0.0,0.0
q3,2025-06-21,72,0.0,0.0
q3,2025-06-21,84,0.0,0.0
q3,2025-06-21,96,274.725438888889,0.0
q3,2025-06-21,108,134.90391111110955,5.115907697472721e-13
q3,2025-06-21,120,0.0,0.0
q3,2025-09-23,60,0.0,0.0
q3,2025-09-23,72,0.0,0.0
q3,2025-09-23,84,0.0,0.0
q3,2025-09-23,96,523.7248904475149,7.247535904753022e-13
q3,2025-09-23,108,0.0,0.0
q3,2025-09-23,120,700.9747305555555,0.0
q3,2025-12-21,60,410.9182152777778,9.947598300641405e-14
q3,2025-12-21,72,111.91839063243413,7.460698725481053e-14
q3,2025-12-21,84,297.3267722222222,5.0626169922907145e-14
q3,2025-12-21,96,801.2162805555557,9.095502129241596e-14
q3,2025-12-21,108,719.2475986111111,0.0
q3,2025-12-21,120,742.6090625000002,0.0
