mode,date,start_hour,charge_kwh,discharge_kwh,start_soc,end_soc
q2,2025-03-20,0.0,6520.888903889566,927.7392371788034,2903.6869027493926,7741.665541606887
q2,2025-03-20,4.0,3441.3871902777787,4878.2302249323075,7741.665541606887,5418.658207376547
q2,2025-03-20,8.0,4064.575063601397,2777.3772166666668,5418.658207376547,5990.801079432619
q2,2025-03-20,12.0,6032.0860406711945,557.7106644330249,5990.801079432619,10800.0
q2,2025-03-20,16.0,101.60806874999453,7492.954262744082,10800.0,2565.942525492681
q2,2025-03-20,20.0,477.3060718292188,1153.3220708333338,2565.942525492681,1714.0490225463848
q2,2025-06-21,0.0,1773.3204455271407,3455.755494336739,5217.80492454964,2974.064998483245
q2,2025-06-21,4.0,2249.438408014893,1808.6575757936507,2974.064998483245,2988.940037037037
q2,2025-06-21,8.0,5123.399958847736,0.0,2988.940037037037,7600.0
q2,2025-06-21,12.0,3555.5555555555557,0.0,7600.0,10800.0
q2,2025-06-21,16.0,133.5698732142858,4088.7836190476164,10800.0,6377.119975839951
q2,2025-06-21,20.0,3155.299194221535,3099.7920236111117,6377.119975839951,5772.675891071431
q2,2025-09-23,0.0,7620.80986928027,763.781045573413,4206.501448531796,10216.584724691358
q2,2025-09-23,4.0,1648.9289982216337,5818.581728174602,10216.584724691358,5235.530014007937
q2,2025-09-23,8.0,5201.653437499999,1896.6157166666667,5235.530014007937,7809.667311461641
q2,2025-09-23,12.0,3853.678438959925,430.18011587301606,7809.667311461641,10800.0
q2,2025-09-23,16.0,77.12893951352068,5372.1048609967265,10800.0,4900.410644454695
q2,2025-09-23,20.0,1654.820029064645,381.6324305555553,4900.410644454695,5965.712636662259
q2,2025-12-21,0.0,9757.276571447183,0.0,2018.4510856975332,10800.0
q2,2025-12-21,4.0,1225.215339437586,1716.0352860555554,10800.0,9995.987932098766
q2,2025-12-21,8.0,5078.572995783343,6000.0332654733975,9995.987932098766,7900.0
q2,2025-12-21,12.0,6098.066311382012,2689.4337122194306,7900.0,10400.0
q2,2025-12-21,16.0,480.6404763451651,5303.711979107145,10400.0,4939.563118591599
q2,2025-12-21,20.0,1304.3195125,3491.6829985694453,4939.563118591599,2233.8029036533267
q3,2025-03-20,0.0,7433.268748611111,1267.9697948333355,2121.012150906004,7402.098697063408
q3,2025-03-20,4.0,3688.9124966533955,5353.8209425066725,7402.098697063408,4773.43000793294
q3,2025-03-20,8.0,4242.128032097331,2777.3772166666663,4773.43000793294,5505.370551635353
q3,2025-03-20,12.0,5583.771818443946,258.4522750000002,5505.370551635353,10243.59599379046
q3,2025-03-20,16.0,220.5738212311189,7129.575653476335,10243.59599379046,2520.361706813651
q3,2025-03-20,20.0,413.8213467876247,1098.373854874862,2520.361706813651,1672.3855246171108
q3,2025-06-21,0.0,2627.5334370634437,2721.3137929484783,3173.807252681333,2514.905353873457
q3,2025-06-21,4.0,2109.53169727366,1744.8622013888887,2514.905353873457,2474.748102098764
q3,2025-06-21,8.0,4139.168775445818,0.0,2474.748102098764,6200.0
q3,2025-06-21,12.0,5111.111111111111,0.0,6200.0,10800.0
q3,2025-06-21,16.0,25.568662447622046,4920.130286549407,10800.0,5356.200366703519
q3,2025-06-21,20.0,3915.93333164501,4665.947510541532,5356.200366703519,3696.154242360103
q3,2025-09-23,0.0,9425.505262624454,1130.5025166666667,3238.707958668855,10465.548787623458
q3,2025-09-23,4.0,1399.1072096427777,5479.223009903505,10465.548787623458,5636.719709742508
q3,2025-09-23,8.0,3778.8600087332907,1896.6157166666671,5636.719709742508,6930.342921306173
q3,2025-09-23,12.0,4500.56688823056,466.67317838360793,6930.342921306173,10462.327366954112
q3,2025-09-23,16.0,28.540883657917423,6939.726769943113,10462.327366954112,2777.206640087224
q3,2025-09-23,20.0,1381.5600587651406,998.5745827090911,2777.206640087224,2911.083378854638
q3,2025-12-21,0.0,355.79779861111143,0.0,1597.2053540510465,1917.4233728010468
q3,2025-12-21,4.0,192.97991388888906,244.7640143333133,1917.4233728010468,1819.1452793751432
q3,2025-12-21,8.0,630.8899017288634,356.6204458333334,1819.1452793751432,1990.7012511163052
q3,2025-12-21,12.0,1291.56487388163,423.4543621932631,1990.7012511163052,2682.604790728369
q3,2025-12-21,16.0,130.22933055555566,542.4281041026363,2682.604790728369,2197.113294780996
q3,2025-12-21,20.0,398.24790943149435,796.5206233730767,2197.113294780996,1670.5134984103663
