date,load_kwh,pv_kwh,surplus_no_storage_kwh,price_mean,price_min,price_max
1,113418.56325967742,38140.41346451613,2001.9705494623656,0.8596107750896057,0.2432,1.6401
2,108405.5166077381,47195.52831964286,4958.801158928572,0.7695711805555555,0.2247,1.447
3,104536.77588978494,55300.7221327957,9150.83090268817,0.7255331989247311,0.0913,1.3583
4,105431.44317722225,64840.45654388889,13154.041289444443,0.6988464120370371,0.0076,1.3932
5,105640.26606451614,67356.0575172043,14002.592479569892,0.6912003360215054,0.0389,1.4134
6,115208.94310666667,56875.837567222225,5590.678523333334,0.7662756712962963,0.1708,1.4509
7,128094.20774569894,65358.1026,7766.631817741935,0.8300811827956989,0.1337,1.7936
8,121084.24920806453,69983.83423172042,14136.45300967742,0.7864659722222223,0.0665,1.7686
9,108861.85038777775,62582.388146111116,12951.261145555556,0.7202801851851852,0.0376,1.4221
10,104328.46779193549,56743.51324247312,11706.686672580645,0.7202710573476703,0.039,1.3793
11,104104.11232055556,44505.03205444445,5461.95343,0.7610268287037038,0.2088,1.4244
12,112591.34150860216,36332.08550107527,1448.9164758064514,0.8617168234767024,0.2354,1.6698
