date,total_cost_yuan_new,total_cost_yuan_baseline,saving_yuan
2025-02-01,29198.318005098918,23871.96037123408,-5326.357633864838
2025-02-02,56920.65662050926,56496.64445133518,-424.01216917407874
2025-02-03,56200.47982705941,58680.63384041197,2480.154013352556
2025-02-04,57168.603046829136,59135.62644598235,1967.023399153215
2025-02-05,56986.57270534584,57835.78104848926,849.2083431434221
2025-02-06,56536.307411441674,57542.244332245005,1005.9369208033313
2025-02-07,23359.38280258256,22249.299123541707,-1110.083679040854
2025-02-08,23065.804493991414,32187.279619705165,9121.47512571375
2025-02-09,55256.47556771444,63535.54930124219,8279.073733527744
2025-02-10,54930.59699158915,54964.61087868722,34.01388709807361
2025-02-11,54424.36457882367,57685.03028638949,3260.6657075658222
2025-02-12,53829.83459152539,55919.03038894987,2089.1957974244797
2025-02-13,51848.43776160015,52362.79310593251,514.3553443323617
2025-02-14,19575.463194614633,26218.139662268142,6642.6764676535095
2025-02-15,20350.24803145733,22210.34112009834,1860.0930886410097
2025-02-16,58382.70172643486,57117.40394607719,-1265.2977803576723
2025-02-17,50857.091430299784,51857.13703780031,1000.0456075005277
2025-02-18,49085.50412748353,54275.3457909779,5189.8416634943715
2025-02-19,56433.60187006735,56002.57419080985,-431.0276792575023
2025-02-20,52909.01226925316,50661.41397438002,-2247.59829487314
2025-02-21,17789.569460339266,21390.335395594648,3600.765935255382
2025-02-22,19212.653772057758,26395.61296644227,7182.959194384512
2025-02-23,52756.31565530468,50249.98930250166,-2506.326352803022
2025-02-24,48663.363348875806,49167.397520152765,504.03417127695866
2025-02-25,48027.32740330074,47570.41274563475,-456.9146576659914
2025-02-26,50610.67421654087,57640.555314613855,7029.881098072983
2025-02-27,56444.77557253595,53875.55826202436,-2569.2173105115944
2025-02-28,17479.267698362528,24628.135976542373,7148.868278179845
2025-03-01,19063.29830400904,18870.028877798784,-193.26942621025592
2025-03-02,61762.2894450833,67292.0735173558,5529.784072272509
2025-03-03,55446.09389783394,54654.62673767373,-791.4671601602095
2025-03-04,49200.94391049439,50221.97717229667,1021.0332618022803
2025-03-05,48517.0933864553,50322.24334906386,1805.149962608557
2025-03-06,45302.31694196628,48251.36078010134,2949.0438381350614
2025-03-07,16036.287990994455,19832.984698125656,3796.696707131201
2025-03-08,20672.718825940858,17868.76283460039,-2803.9559913404664
2025-03-09,48928.143062506024,44177.67023100343,-4750.472831502593
2025-03-10,56576.899165704715,65015.30634447571,8438.407178770998
2025-03-11,48554.41516252823,47178.073019237374,-1376.342143290858
2025-03-12,45529.36195205221,44383.67712237204,-1145.684829680169
2025-03-13,53938.79301882405,69533.44336964507,15594.650350821023
2025-03-14,15755.239301726198,21800.81625980729,6045.57695808109
2025-03-15,18165.686041884288,20635.49012908661,2469.804087202323
2025-03-16,45335.3611110939,49490.43700868391,4155.07589759001
2025-03-17,43941.42668341867,41787.93023161975,-2153.496451798921
2025-03-18,50815.368232356224,57175.8790910429,6360.510858686677
2025-03-19,47620.09006103674,41978.72486660444,-5641.365194432299
2025-03-20,45652.96443158483,51970.78517906361,6317.820747478785
2025-03-21,15668.535881191701,18079.341000147702,2410.805118956001
2025-03-22,17696.277201251996,26173.028370039807,8476.75116878781
2025-03-23,45387.19747989143,43192.25760818759,-2194.939871703842
2025-03-24,44257.475318102865,48978.40858397055,4720.933265867687
2025-03-25,48730.01629445831,53285.86061308073,4555.844318622418
2025-03-26,44175.02778665592,41705.2500478455,-2469.7777388104223
2025-03-27,39838.202740753644,53921.2819360329,14083.079195279257
2025-03-28,15097.090847818637,16101.847450518148,1004.75660269951
2025-03-29,16957.3591185411,17069.16984430608,111.81072576498264
2025-03-30,42862.376130929086,46238.07582935885,3375.6996984297657
2025-03-31,42924.06466221427,53607.93077457158,10683.866112357311
2025-04-01,51015.80864009552,48529.29773215746,-2486.5109079380636
2025-04-02,54090.234600143944,52247.69608341176,-1842.5385167321801
2025-04-03,43629.61603691111,46958.35679418658,3328.7407572754673
2025-04-04,14301.460797144062,15213.546720573686,912.085923429624
2025-04-05,16503.103715768662,33066.297335981806,16563.193620213144
2025-04-06,40850.571072409824,40477.93609028318,-372.63498212664126
2025-04-07,40218.60428336115,42023.16709911122,1804.5628157500687
2025-04-08,43740.63927983118,45629.55247445959,1888.9131946284106
2025-04-09,45261.15620683925,61747.16006217593,16486.003855336676
2025-04-10,39223.58525388907,41530.38222055296,2306.796966663889
2025-04-11,13829.157837693672,16699.055021201562,2869.89718350789
2025-04-12,16396.499967981967,25129.41750047424,8732.917532492273
2025-04-13,42358.27121705005,42956.95612111841,598.6849040683592
2025-04-14,41448.97868922554,37153.4315207171,-4295.547168508441
2025-04-15,38399.543205444585,43972.22454820659,5572.681342762007
2025-04-16,41902.74096854636,60082.89859101621,18180.15762246985
2025-04-17,37085.563237952796,38533.67099853885,1448.1077605860555
2025-04-18,13371.264486747763,14216.997294897204,845.7328081494416
2025-04-19,15835.524582744814,14257.472068094856,-1578.0525146499585
2025-04-20,42319.51370541216,40245.79900777949,-2073.7146976326694
2025-04-21,38052.48590536372,35694.50879493593,-2357.9771104277897
2025-04-22,38763.783932883984,56301.91259099137,17538.128658107387
2025-04-23,37729.9451750771,34702.26975595945,-3027.675419117644
2025-04-24,34973.08532406422,35328.46899468089,355.3836706166694
2025-04-25,12601.397945741604,14714.430877297302,2113.0329315556974
2025-04-26,15379.713896059313,27686.45041237364,12306.736516314328
2025-04-27,40679.47496772389,45615.98366370376,4936.508695979872
2025-04-28,63620.5147329622,70350.223809583,6729.709076620798
2025-04-29,37560.26856930615,38771.57702674493,1211.308457438783
2025-04-30,34106.46903255231,36661.69421607196,2555.225183519651
2025-05-01,47706.77476039014,57781.07066240578,10074.295902015641
2025-05-02,27424.749405332404,42317.16849074726,14892.419085414855
2025-05-03,25452.03521204772,24505.93326115056,-946.1019508971585
2025-05-04,46913.978718597136,46598.58989480629,-315.3888237908468
2025-05-05,58397.732545947554,62514.72576499989,4116.993219052332
2025-05-06,52286.2365211726,48136.37827891065,-4149.858242261951
2025-05-07,54929.09487759872,61870.30581427057,6941.2109366718505
2025-05-08,42437.896323780325,48238.76918179775,5800.872858017421
2025-05-09,20090.112114027546,18693.038684323237,-1397.073429704309
2025-05-10,22036.92057410156,25020.246152868327,2983.325578766766
2025-05-11,45303.7614232432,42218.516471090414,-3085.2449521527888
2025-05-12,42245.59788436144,40985.18263881447,-1260.415245546974
2025-05-13,40224.752978715536,44526.15545963425,4301.40248091871
2025-05-14,41551.82438548657,38950.94647620666,-2600.877909279916
2025-05-15,36251.4059595414,43263.20404757415,7011.798088032752
2025-05-16,14363.28741143069,15940.18116387492,1576.89375244423
2025-05-17,18794.300052960974,32290.687137814683,13496.387084853708
2025-05-18,43292.57689111568,44438.6199961381,1146.0431050224215
2025-05-19,39455.856228388046,39007.406147007765,-448.4500813802806
2025-05-20,37301.80179281917,70319.37998020122,33017.57818738205
2025-05-21,38537.85549918726,38818.26630445394,280.4108052666779
2025-05-22,35071.66462531814,42373.6412789266,7301.976653608464
2025-05-23,14433.07218239665,22687.167191891287,8254.095009494637
2025-05-24,17888.387288357106,15156.20989192302,-2732.1773964340864
2025-05-25,37832.218896058,38430.163699025885,597.9448029678824
2025-05-26,40244.168474991275,67763.0610330981,27518.892558106825
2025-05-27,37230.06141934401,37692.02424285388,461.9628235098644
2025-05-28,39507.3633837318,47991.04322944421,8483.67984571241
2025-05-29,37717.451332931036,49075.70734349361,11358.256010562574
2025-05-30,14616.623836929659,24352.05193886953,9735.42810193987
2025-05-31,18601.904077879328,16460.864073771292,-2141.0400041080356
2025-06-01,99048.69263827594,114280.85377835928,15232.161140083335
2025-06-02,79378.64262033548,86384.0072361728,7005.364615837316
2025-06-03,73116.28625503283,73008.16885138187,-108.11740365096193
2025-06-04,58021.901030438865,87927.0885652655,29905.187534826633
2025-06-05,60253.67973754573,80607.55412102427,20353.874383478535
2025-06-06,38857.393772874115,70942.67108098707,32085.277308112956
2025-06-07,33128.95350185602,42930.69993480925,9801.74643295323
2025-06-08,53939.19142815119,52580.91908226476,-1358.2723458864348
2025-06-09,59584.43918208059,75233.59787943207,15649.158697351479
2025-06-10,54435.632069237545,54743.47236145892,307.8402922213718
2025-06-11,65163.20111839855,70739.88661953522,5576.685501136664
2025-06-12,50741.83108157088,52786.86359594972,2045.032514378836
2025-06-13,24243.890303642536,23177.00560625721,-1066.8846973853251
2025-06-14,25995.816172145027,25048.40864455812,-947.4075275869072
2025-06-15,52408.98787543669,57404.3924924735,4995.404617036809
2025-06-16,51640.78221931667,59537.409435021706,7896.627215705033
2025-06-17,52212.046354948194,64074.329600757046,11862.283245808852
2025-06-18,52903.48032402795,52645.75713130292,-257.7231927250323
2025-06-19,49941.66817433838,53834.27983697684,3892.611662638461
2025-06-20,22337.126892063752,23486.376883410736,1149.2499913469837
2025-06-21,23695.81377803061,21056.4688685853,-2639.34490944531
2025-06-22,47798.02655230279,62736.09868871653,14938.072136413735
2025-06-23,48233.09107777044,54513.17719476556,6280.086116995117
2025-06-24,69470.09163002853,87625.62099544032,18155.529365411785
2025-06-25,50814.13009958301,51632.9426467863,818.8125472032916
2025-06-26,49148.64018100047,52424.66370304166,3276.0235220411923
2025-06-27,20364.116608354052,23960.854663895923,3596.7380555418713
2025-06-28,22041.569078267206,22969.30856366716,927.739485399954
2025-06-29,48789.0450455558,57097.02813857227,8307.983093016468
2025-06-30,51380.30766807462,52705.090517661854,1324.7828495872309
2025-07-01,67979.46385894934,81407.7635167802,13428.299657830852
2025-07-02,69967.57910529943,81602.9764395913,11635.397334291862
2025-07-03,78504.19956587383,133769.27236934338,55265.07280346955
2025-07-04,46001.519204561264,65799.6211129587,19798.10190839744
2025-07-05,51777.15246470817,70230.71998265965,18453.56751795148
2025-07-06,94068.40401329806,131310.70800257998,37242.30398928192
2025-07-07,57728.642093446,79784.80259125515,22056.160497809156
2025-07-08,59052.32267885619,69721.32705298137,10669.004374125187
2025-07-09,57414.49495692523,57172.70957217256,-241.78538475267123
2025-07-10,55237.32415890888,55645.58934907066,408.2651901617792
2025-07-11,28854.841430007367,33101.536457989336,4246.695027981968
2025-07-12,28298.8670359237,31396.674947487896,3097.807911564196
2025-07-13,53741.88706742189,53517.90176739177,-223.98530003012274
2025-07-14,51772.18809453693,58832.107049066166,7059.918954529239
2025-07-15,51618.10123250103,66577.55687603877,14959.455643537738
2025-07-16,51029.96847968756,54463.80870396992,3433.8402242823577
2025-07-17,49823.483955582225,60637.22987533862,10813.745919756395
2025-07-18,26215.52075762731,30214.17586993547,3998.655112308159
2025-07-19,28096.382808103335,27822.009695744448,-274.37311235888774
2025-07-20,51413.816969093845,55523.55149850937,4109.734529415524
2025-07-21,52120.41986018895,57982.73700831615,5862.3171481272
2025-07-22,52006.831604266,56891.92642370101,4885.094819435006
2025-07-23,52619.389890629645,59164.153491231205,6544.76360060156
2025-07-24,48656.38148745482,59738.32207744618,11081.940589991362
2025-07-25,25025.095621335888,26573.934908104256,1548.8392867683688
2025-07-26,28407.52148800097,27920.83382148145,-486.68766651951955
2025-07-27,57887.8360777908,60369.94384199214,2482.1077642013406
2025-07-28,62309.77933281435,70977.56175734715,8667.782424532801
2025-07-29,53690.148167672145,55454.62913487973,1764.4809672075862
2025-07-30,53094.56690947097,58679.81004926949,5585.24313979852
2025-07-31,49405.68504068426,63225.66304045943,13819.977999775176
2025-08-01,24290.101225285318,25949.302476051413,1659.2012507660947
2025-08-02,26849.43077583206,30475.472300529036,3626.041524696975
2025-08-03,51277.93707521767,49785.2957169601,-1492.6413582575697
2025-08-04,49442.03523303369,58906.479556507664,9464.444323473974
2025-08-05,47977.50585553226,47614.76615331187,-362.7397022203877
2025-08-06,55804.362862752714,62035.6944257619,6231.331563009189
2025-08-07,46363.70654382219,51375.74448292823,5012.037939106041
2025-08-08,23673.600992123942,25927.31531795941,2253.7143258354663
2025-08-09,25839.782763225918,31212.045323307306,5372.262560081388
2025-08-10,47188.33703526761,49306.44043128044,2118.1033960128334
2025-08-11,49934.851018222595,51916.41920484701,1981.5681866244122
2025-08-12,52409.55162037464,64124.07064983303,11714.519029458395
2025-08-13,48695.08641439682,51611.0604361882,2915.9740217913786
2025-08-14,50102.45171165886,56782.77785173787,6680.326140079007
2025-08-15,23732.519193936518,25948.30116777165,2215.781973835132
2025-08-16,26320.491096771293,29951.499447211278,3631.0083504399845
2025-08-17,48400.18851003645,53570.02620965894,5169.837699622491
2025-08-18,47587.05121840582,54664.76749245665,7077.716274050836
2025-08-19,45898.539128470555,49076.457124935376,3177.917996464821
2025-08-20,64749.44993735312,72933.3634935627,8183.9135562095835
2025-08-21,44555.50963633518,52364.34525062519,7808.835614290016
2025-08-22,25126.840611225492,33579.28911942708,8452.448508201585
2025-08-23,26178.09612661741,24955.27969448395,-1222.8164321334589
2025-08-24,50436.08094031313,53684.90960073126,3248.828660418134
2025-08-25,58230.98516423676,81339.0799765256,23108.094812288837
2025-08-26,47804.00567154602,49900.90674177907,2096.901070233049
2025-08-27,48164.228699670886,57982.84455244971,9818.615852778821
2025-08-28,49239.000662891674,59824.23708968528,10585.236426793606
2025-08-29,24137.283010499348,27637.68048467828,3500.3974741789316
2025-08-30,26435.272780994128,28238.928593897712,1803.6558129035839
2025-08-31,49664.85964596065,62057.373041897954,12392.513395937305
