date,total_cost_yuan_new,total_cost_yuan_baseline,saving_yuan
2025-02-01,28339.55615485696,23871.96037123408,-4467.595783622881
2025-02-02,58113.41004256657,56496.64445133518,-1616.7655912313858
2025-02-03,57358.78690864853,58680.63384041197,1321.8469317634372
2025-02-04,57352.740121244926,59135.62644598235,1782.8863247374247
2025-02-05,57191.89049722896,57835.78104848926,643.8905512603014
2025-02-06,57654.23733331268,57542.244332245005,-111.99300106767623
2025-02-07,23878.054204059954,22249.299123541707,-1628.7550805182473
2025-02-08,23851.807718527012,32187.279619705165,8335.471901178153
2025-02-09,56026.22909511929,63535.54930124219,7509.320206122895
2025-02-10,55961.84590546926,54964.61087868722,-997.2350267820366
2025-02-11,55344.60696963871,57685.03028638949,2340.4233167507773
2025-02-12,54682.75617379522,55919.03038894987,1236.2742151546481
2025-02-13,51724.32960048655,52362.79310593251,638.463505445965
2025-02-14,18543.29930398261,26218.139662268142,7674.840358285532
2025-02-15,19600.597505578226,22210.34112009834,2609.7436145201136
2025-02-16,56172.97284737334,57117.40394607719,944.431098703848
2025-02-17,50564.39851971382,51857.13703780031,1292.7385180864949
2025-02-18,49469.77691073216,54275.3457909779,4805.568880245744
2025-02-19,52939.42115540811,56002.57419080985,3063.1530354017377
2025-02-20,51156.523993363895,50661.41397438002,-495.1100189838762
2025-02-21,18120.945831455025,21390.335395594648,3269.389564139623
2025-02-22,18909.27128625131,26395.61296644227,7486.341680190959
2025-02-23,50250.933453442885,50249.98930250166,-0.9441509412281448
2025-02-24,48299.946505208965,49167.397520152765,867.4510149437992
2025-02-25,48107.12447002341,47570.41274563475,-536.7117243886605
2025-02-26,47351.13222304745,57640.555314613855,10289.423091566408
2025-02-27,53322.8514493107,53875.55826202436,552.706812713659
2025-02-28,17427.346479031014,24628.135976542373,7200.7894975113595
2025-03-01,18620.504405284984,18870.028877798784,249.5244725138
2025-03-02,57303.300071013786,67292.0735173558,9988.77344634202
2025-03-03,51889.7136171753,54654.62673767373,2764.9131204984296
2025-03-04,50706.801915621676,50221.97717229667,-484.82474332500715
2025-03-05,49609.84104082203,50322.24334906386,712.402308241828
2025-03-06,46782.1119778614,48251.36078010134,1469.2488022399411
2025-03-07,16584.480228245935,19832.984698125656,3248.504469879721
2025-03-08,20277.76014389333,17868.76283460039,-2408.9973092929395
2025-03-09,45795.61627858118,44177.67023100343,-1617.9460475777523
2025-03-10,49875.221906231134,65015.30634447571,15140.08443824458
2025-03-11,44993.231095649426,47178.073019237374,2184.8419235879483
2025-03-12,44410.829476699146,44383.67712237204,-27.15235432710324
2025-03-13,49805.40710478907,69533.44336964507,19728.036264856004
2025-03-14,16387.320247381474,21800.81625980729,5413.496012425814
2025-03-15,18236.392452433116,20635.49012908661,2399.097676653495
2025-03-16,44759.15096199428,49490.43700868391,4731.286046689631
2025-03-17,43579.57101931925,41787.93023161975,-1791.6407876995
2025-03-18,47016.55692606493,57175.8790910429,10159.322164977973
