date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,planner_fallback,solver_gap,solve_seconds,controller_seconds,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,plan_cost_yuan,emergency_cost_yuan,dispatch_fallback,total_cost_yuan
2025-02-01,True,1200.0,9224.255307592588,Optimal,False,0.0,0.0758203000004869,0.04084649999276735,52063.08568791887,26948.53533148148,14606.483841666668,967.6432142857217,6310.50147905645,26250.494018271285,3033.622579662531,0,29284.116597933815
2025-02-02,True,9224.255307592588,9098.19717722222,Optimal,False,0.0003408635298519474,0.04296470001281705,0.04008739998971578,89443.67467028601,22087.34919376838,18004.20516428572,1.4143353155304794e-11,7004.25269080336,56506.60588585404,4.6416428922668726e-11,0,56506.605885854085
2025-02-03,True,9098.19717722222,8933.666958320106,Optimal,False,0.0006405845227806013,0.040210000006482005,0.04069210001034662,88531.36517739006,22257.26921588771,18176.465261880952,8.98263690478035,4242.6273602880865,55837.50288205454,32.49487318459436,0,55869.997755239136
2025-02-04,True,8933.666958320106,9086.199095436505,Optimal,False,0.0,0.08149250000133179,0.04086940000706818,88754.93334604644,23767.790519782477,19114.63139761905,486.7129726190674,3393.6232465020794,55826.40182538803,2280.670647520311,0,58107.07247290834
2025-02-05,True,9086.199095436505,9086.64182415344,Optimal,False,0.000744714931109587,0.03956300001300406,0.04087739999522455,88271.77773164095,23027.02165283657,18651.489082952383,410.26135532144303,3558.0795337448653,55701.27922122642,1918.0936005017397,0,57619.37282172816
2025-02-06,True,9086.64182415344,9040.746062671958,Optimal,False,0.0,0.07850740000139922,0.03961320000234991,88914.28991131687,22868.998477836565,18565.194952380953,15.128257142874084,4354.557426337461,56114.7371381592,79.0533166000645,0,56193.79045475927
2025-02-07,True,9040.746062671958,8849.334071521165,Optimal,False,0.0,0.08100489999924321,0.04218939998827409,42280.09154313639,18833.088973677248,15427.072860714286,510.8942666666795,7579.290030173442,21828.87956088941,1458.0922370667067,0,23286.971797956117
2025-02-08,True,8849.334071521165,9079.033215119045,Optimal,False,0.0,0.08794469998974819,0.041654500004369766,41598.33353179012,18317.249581951794,14630.24293214286,515.1981666666746,6849.362331981196,21487.569302664142,1469.389852666697,0,22956.95915533084
2025-02-09,True,9079.033215119045,8880.111247235449,Optimal,False,1.3453759408827497e-05,0.04102830000920221,0.04078029999800492,86835.43218796296,22766.851251146385,18620.17928452381,128.15000119048779,3261.494255864209,54638.671841611904,529.3360988714683,0,55168.007940483374
2025-02-10,True,8880.111247235449,8776.710793637563,Optimal,False,0.0,0.06585430000268389,0.041224799992050976,87412.26700983245,20270.145488065846,16511.878253571434,1.0249134874129595e-11,9327.362192004715,54842.28569305716,3.4652701597082114e-11,0,54842.285693057194
