date,start,end,intervals,emergency_kwh,cost_yuan
2025-02-01,05:40,05:50,1,531.1811666666666,1515.9910496666666
2025-02-01,07:30,07:40,1,377.65374999999995,1302.7166106249997
2025-02-01,15:10,15:40,3,58.80829761904761,214.91491937083327
2025-02-03,00:20,00:30,1,1.822499999999991,3.8901262499999807
2025-02-03,10:40,10:50,1,7.160136904761885,28.604746934523728
2025-02-04,00:20,00:30,1,10.947500000000105,23.367438750000225
2025-02-04,10:10,10:30,2,288.428007142859,1379.0651706178655
2025-02-04,14:40,14:50,1,187.33746547619185,878.2380381523874
2025-02-05,00:00,00:10,1,1.6382750000000215,3.4796961000000457
2025-02-05,02:20,02:30,1,13.854999999999905,30.252392499999793
2025-02-05,07:10,07:20,1,4.324986273808486,17.239395287400626
2025-02-05,10:10,10:30,2,390.44309404761816,1867.1221166142814
2025-02-06,00:50,01:00,1,2.5191666666665924,5.397314583333174
2025-02-06,08:00,08:10,1,12.609090476191227,73.65600201667105
2025-02-07,05:40,05:50,1,510.8942666666667,1458.0922370666667
2025-02-08,00:20,00:30,1,1.3700000000000045,2.92426500000001
2025-02-08,05:40,05:50,1,513.8281666666667,1466.4655876666668
2025-02-09,00:50,01:00,1,6.822499999999991,14.617206249999981
2025-02-09,10:20,10:30,1,38.50612619047644,183.84749949642975
2025-02-09,10:40,10:50,1,82.82137500000022,330.87139312500085
2025-02-13,00:30,00:50,2,59.81387222222213,127.74853869027758
2025-02-13,01:00,02:40,10,208.50855000000013,450.06727858333363
2025-02-13,03:00,03:50,5,119.13363611111129,259.9007730694448
2025-02-13,04:20,04:30,1,19.97834279166557,43.59274397141427
2025-02-13,05:00,05:10,1,11.787973496032894,25.538644579155267
2025-02-13,05:40,05:50,1,42.43821805555547,121.11867433055531
2025-02-13,20:30,21:00,3,133.16232648809603,840.4823784504024
2025-02-14,07:40,07:50,1,51.58926663888943,221.83384654722454
2025-02-14,08:10,08:30,2,68.80943333333349,374.7061895500008
2025-02-14,20:40,20:50,1,166.71796480555548,1019.1469188563606
2025-02-15,20:40,21:50,7,330.5223342499959,1706.0818180223087
2025-02-16,00:30,00:50,2,29.23987222222229,62.44627880694459
2025-02-16,01:30,01:50,2,22.35144722222219,48.32840480902772
2025-02-16,02:20,02:50,3,31.49818333333326,68.4003146666665
2025-02-16,03:30,03:50,2,41.76200555555556,90.94887435972223
2025-02-16,04:20,04:30,1,57.108451375002986,124.61064090025651
2025-02-16,05:50,06:10,2,32.322768055556594,147.31173096181035
2025-02-16,06:20,07:00,4,176.8903694444441,763.1335896569428
2025-02-16,09:20,10:50,9,1538.7389672222223,7352.633559948613
2025-02-16,16:10,16:50,4,141.2681555555556,634.3634212798613
2025-02-16,20:30,20:40,1,164.7221961111104,1149.102040071106
2025-02-17,00:30,01:00,3,92.42849166666701,197.68784549166742
2025-02-17,01:30,02:20,5,129.8214638888893,280.21285227222313
2025-02-17,03:00,03:30,3,78.26684166666655,170.91781142083306
2025-02-17,04:20,04:30,1,4.025294444444512,8.783192477777925
2025-02-17,06:00,06:10,1,0.6110138888896017,2.8619890555588947
2025-02-17,06:40,07:10,3,55.90035416666683,232.92777703611182
