date,total_cost_yuan_new,total_cost_yuan_baseline,saving_yuan
2025-02-01,29284.116597933815,23871.96037123408,-5412.156226699735
2025-02-02,56506.605885854085,56496.64445133518,-9.961434518903843
2025-02-03,55869.997755239136,58680.63384041197,2810.6360851728314
2025-02-04,58107.07247290834,59135.62644598235,1028.553973074013
2025-02-05,57619.37282172816,57835.78104848926,216.4082267611011
2025-02-06,56193.79045475927,57542.244332245005,1348.4538774857356
2025-02-07,23286.971797956117,22249.299123541707,-1037.6726744144107
2025-02-08,22956.95915533084,32187.279619705165,9230.320464374327
2025-02-09,55168.007940483374,63535.54930124219,8367.541360758813
2025-02-10,54842.285693057194,54964.61087868722,122.32518563002668
2025-02-11,54342.30580289493,57685.03028638949,3342.7244834945595
2025-02-12,53769.143398390916,55919.03038894987,2149.8869905589527
2025-02-13,51969.11888960796,52362.79310593251,393.6742163245508
2025-02-14,19797.900435686784,26218.139662268142,6420.239226581358
2025-02-15,20402.73910888634,22210.34112009834,1807.6020112119986
2025-02-16,58564.05342726281,57117.40394607719,-1446.6494811856173
2025-02-17,51012.76371350176,51857.13703780031,844.3733242985545
2025-02-18,49257.84863076061,54275.3457909779,5017.4971602172955
2025-02-19,56421.11873017542,56002.57419080985,-418.5445393655682
2025-02-20,53336.688381327804,50661.41397438002,-2675.274406947785
2025-02-21,17736.267050516497,21390.335395594648,3654.0683450781507
2025-02-22,19339.542786841583,26395.61296644227,7056.070179600687
2025-02-23,53292.57284018019,50249.98930250166,-3042.5835376785326
2025-02-24,49167.174809710144,49167.397520152765,0.22271044262015494
2025-02-25,48558.01480691632,47570.41274563475,-987.6020612815701
2025-02-26,50927.5700231151,57640.555314613855,6712.985291498757
2025-02-27,56683.23543906763,53875.55826202436,-2807.677177043268
2025-02-28,17634.153091941454,24628.135976542373,6993.982884600919
2025-03-01,19173.330784137477,18870.028877798784,-303.3019063386928
2025-03-02,62681.029755063195,67292.0735173558,4611.043762292611
2025-03-03,56077.414200752704,54654.62673767373,-1422.7874630789738
2025-03-04,49085.3551496304,50221.97717229667,1136.62202266627
2025-03-05,48763.94883625268,50322.24334906386,1558.294512811175
2025-03-06,45514.52461053372,48251.36078010134,2736.8361695676213
2025-03-07,15865.571150369773,19832.984698125656,3967.413547755883
2025-03-08,20559.652431051316,17868.76283460039,-2690.8895964509247
2025-03-09,50216.961277270486,44177.67023100343,-6039.291046267055
2025-03-10,59117.68568934408,65015.30634447571,5897.620655131635
2025-03-11,51745.857120667635,47178.073019237374,-4567.784101430261
2025-03-12,48255.3559129204,44383.67712237204,-3871.678790548358
2025-03-13,56607.65502893255,69533.44336964507,12925.78834071252
2025-03-14,16605.200855892283,21800.81625980729,5195.615403915006
2025-03-15,19890.715225452368,20635.49012908661,744.774903634243
2025-03-16,47962.98794584122,49490.43700868391,1527.4490628426938
2025-03-17,44709.83691442728,41787.93023161975,-2921.90668280753
2025-03-18,52522.697613252705,57175.8790910429,4653.181477790196
2025-03-19,49928.356724000594,41978.72486660444,-7949.631857396154
2025-03-20,48990.83095797593,51970.78517906361,2979.9542210876825
2025-03-21,16881.029958407387,18079.341000147702,1198.311041740315
2025-03-22,17277.967055287063,26173.028370039807,8895.061314752744
2025-03-23,49053.90632858278,43192.25760818759,-5861.648720395191
2025-03-24,47297.823659228234,48978.40858397055,1680.5849247423175
2025-03-25,51888.53646046147,53285.86061308073,1397.3241526192578
2025-03-26,47289.40790782439,41705.2500478455,-5584.157859978892
2025-03-27,43815.84611200405,53921.2819360329,10105.43582402885
2025-03-28,14618.953995194119,16101.847450518148,1482.8934553240288
2025-03-29,18175.60457789562,17069.16984430608,-1106.43473358954
2025-03-30,44574.46128507528,46238.07582935885,1663.6145442835696
2025-03-31,45613.13148850968,53607.93077457158,7994.799286061898
2025-04-01,55096.087312368065,48529.29773215746,-6566.789580210607
2025-04-02,57624.21127756678,52247.69608341176,-5376.515194155014
2025-04-03,48238.26725884612,46958.35679418658,-1279.9104646595442
2025-04-04,13871.250726945145,15213.546720573686,1342.2959936285406
2025-04-05,16956.487554164156,33066.297335981806,16109.80978181765
2025-04-06,45549.557836728745,40477.93609028318,-5071.621746445562
2025-04-07,43424.63099311417,42023.16709911122,-1401.4638940029545
2025-04-08,47305.32455741029,45629.55247445959,-1675.7720829507016
2025-04-09,49536.27014427017,61747.16006217593,12210.889917905755
2025-04-10,43175.51764859882,41530.38222055296,-1645.1354280458618
2025-04-11,13494.660968402952,16699.055021201562,3204.3940527986106
2025-04-12,16181.588476208315,25129.41750047424,8947.829024265924
2025-04-13,46136.28764444892,42956.95612111841,-3179.331523330511
2025-04-14,44269.69885338817,37153.4315207171,-7116.267332671065
2025-04-15,41772.14861079445,43972.22454820659,2200.075937412141
2025-04-16,45468.92428726846,60082.89859101621,14613.974303747746
2025-04-17,40944.3213560124,38533.67099853885,-2410.650357473547
2025-04-18,13526.725472829738,14216.997294897204,690.2718220674669
2025-04-19,15805.002055408073,14257.472068094856,-1547.5299873132171
2025-04-20,44513.33410723134,40245.79900777949,-4267.535099451852
2025-04-21,40504.069173497046,35694.50879493593,-4809.5603785611165
2025-04-22,41002.20622965616,56301.91259099137,15299.706361335207
2025-04-23,39299.374735611396,34702.26975595945,-4597.104979651944
2025-04-24,36846.90813752539,35328.46899468089,-1518.4391428445015
2025-04-25,12339.835481876671,14714.430877297302,2374.5953954206307
2025-04-26,16172.073028068746,27686.45041237364,11514.377384304895
2025-04-27,43151.29459435774,45615.98366370376,2464.6890693460155
2025-04-28,68273.88456603137,70350.223809583,2076.339243551629
2025-04-29,39552.80857008541,38771.57702674493,-781.2315433404801
2025-04-30,36220.37599295765,36661.69421607196,441.3182231143146
2025-05-01,52285.91053413528,57781.07066240578,5495.160128270501
2025-05-02,29203.64144575901,42317.16849074726,13113.527044988248
2025-05-03,26551.824130682555,24505.93326115056,-2045.8908695319951
2025-05-04,50263.43503363716,46598.58989480629,-3664.8451388308677
2025-05-05,63040.38707638769,62514.72576499989,-525.6613113878047
2025-05-06,57652.50529620865,48136.37827891065,-9516.127017298
2025-05-07,60919.484978097826,61870.30581427057,950.8208361727447
2025-05-08,48942.79258287207,48238.76918179775,-704.0234010743225
2025-05-09,22859.35938830707,18693.038684323237,-4166.320703983834
2025-05-10,25466.726371376655,25020.246152868327,-446.4802185083281
2025-05-11,54728.90279474809,42218.516471090414,-12510.38632365768
2025-05-12,49634.22177097253,40985.18263881447,-8649.039132158061
2025-05-13,50226.25997580667,44526.15545963425,-5700.104516172425
2025-05-14,51133.82375543238,38950.94647620666,-12182.877279225722
2025-05-15,47827.12151885632,43263.20404757415,-4563.91747128217
2025-05-16,17376.93289059722,15940.18116387492,-1436.751726722301
2025-05-17,24571.722373225755,32290.687137814683,7718.964764588927
2025-05-18,50862.36911013521,44438.6199961381,-6423.74911399711
2025-05-19,47232.202480733344,39007.406147007765,-8224.796333725579
2025-05-20,48220.32616907453,70319.37998020122,22099.053811126694
2025-05-21,49670.29935633899,38818.26630445394,-10852.033051885053
2025-05-22,41774.577412746396,42373.6412789266,599.0638661802077
2025-05-23,15651.802858653147,22687.167191891287,7035.36433323814
2025-05-24,17852.803502511804,15156.20989192302,-2696.593610588785
2025-05-25,44144.08634138223,38430.163699025885,-5713.922642356345
2025-05-26,50260.49937220506,67763.0610330981,17502.561660893043
2025-05-27,41589.97929913193,37692.02424285388,-3897.9550562780496
2025-05-28,45947.22511809126,47991.04322944421,2043.81811135295
2025-05-29,47653.08871489625,49075.70734349361,1422.61862859736
2025-05-30,15628.527822093278,24352.05193886953,8723.52411677625
2025-05-31,17620.181983270366,16460.864073771292,-1159.3179094990737
2025-06-01,112849.87811321332,114280.85377835928,1430.975665145961
2025-06-02,92308.3812297739,86384.0072361728,-5924.373993601112
2025-06-03,87189.01208428407,73008.16885138187,-14180.843232902203
2025-06-04,73153.63019621422,87927.0885652655,14773.45836905128
2025-06-05,78711.98230068396,80607.55412102427,1895.5718203403085
2025-06-06,47081.84957743364,70942.67108098707,23860.82150355343
2025-06-07,42289.12965490317,42930.69993480925,641.5702799060819
2025-06-08,64561.911167341415,52580.91908226476,-11980.992085076658
2025-06-09,71358.39128622632,75233.59787943207,3875.206593205745
2025-06-10,52619.398717925425,54743.47236145892,2124.073643533491
2025-06-11,70680.11921601102,70739.88661953522,59.76740352419438
2025-06-12,50827.60227819288,52786.86359594972,1959.261317756842
2025-06-13,26765.098018643865,23177.00560625721,-3588.0924123866535
2025-06-14,25708.6828233002,25048.40864455812,-660.2741787420819
2025-06-15,50724.138493854545,57404.3924924735,6680.253998618951
2025-06-16,55002.91751462814,59537.409435021706,4534.491920393564
2025-06-17,65424.467458996674,64074.329600757046,-1350.1378582396283
2025-06-18,51926.334215338735,52645.75713130292,719.4229159641836
2025-06-19,48188.42309495861,53834.27983697684,5645.85674201823
2025-06-20,21112.57253020752,23486.376883410736,2373.804353203217
2025-06-21,22981.534590510186,21056.4688685853,-1925.065721924886
2025-06-22,51193.34818283234,62736.09868871653,11542.750505884185
2025-06-23,54805.755540803904,54513.17719476556,-292.57834603834635
2025-06-24,88620.5507958175,87625.62099544032,-994.9298003771837
2025-06-25,53135.62631114909,51632.9426467863,-1502.6836643627903
2025-06-26,48352.5188459069,52424.66370304166,4072.1448571347573
