date,total_cost_yuan_new,total_cost_yuan_baseline,saving_yuan
2025-02-01,24920.522821523627,23871.96037123408,-1048.562450289548
2025-02-02,58009.35283738017,56496.64445133518,-1512.7083860449857
2025-02-03,57240.62669444508,58680.63384041197,1440.0071459668834
2025-02-04,57289.988878995675,59135.62644598235,1845.6375669866757
2025-02-05,57171.49678745531,57835.78104848926,664.2842610339503
2025-02-06,57621.61093850992,57542.244332245005,-79.36660626491357
2025-02-07,23818.322070086964,22249.299123541707,-1569.0229465452576
2025-02-08,23793.27176075954,32187.279619705165,8394.007858945624
2025-02-09,55959.83463652791,63535.54930124219,7575.71466471428
2025-02-10,55824.16661877135,54964.61087868722,-859.555740084128
2025-02-11,55306.56212447108,57685.03028638949,2378.468161918412
2025-02-12,54622.88934294773,55919.03038894987,1296.1410460021361
2025-02-13,52042.32431479463,52362.79310593251,320.468791137886
2025-02-14,18657.884499333304,26218.139662268142,7560.255162934838
2025-02-15,19218.374342530235,22210.34112009834,2991.9667775681046
2025-02-16,56505.525389984425,57117.40394607719,611.8785560927645
2025-02-17,50518.343486408405,51857.13703780031,1338.7935513919074
2025-02-18,49518.704106402925,54275.3457909779,4756.641684574977
2025-02-19,53050.8419949301,56002.57419080985,2951.7321958797475
2025-02-20,51929.69449851299,50661.41397438002,-1268.2805241329697
2025-02-21,18235.52236897025,21390.335395594648,3154.813026624397
2025-02-22,18185.380977500477,26395.61296644227,8210.231988941792
2025-02-23,50599.65468865383,50249.98930250166,-349.66538615216996
2025-02-24,48148.07927595057,49167.397520152765,1019.3182442021935
2025-02-25,48244.06929030423,47570.41274563475,-673.6565446694804
2025-02-26,47686.08896894428,57640.555314613855,9954.466345669578
2025-02-27,54448.136079882344,53875.55826202436,-572.5778178579858
2025-02-28,17477.086903466712,24628.135976542373,7151.049073075661
2025-03-01,17557.756814170763,18870.028877798784,1312.272063628021
2025-03-02,57362.56247920344,67292.0735173558,9929.511038152363
2025-03-03,51906.1233628936,54654.62673767373,2748.503374780128
2025-03-04,50500.59668287635,50221.97717229667,-278.6195105796796
2025-03-05,49601.617718164656,50322.24334906386,720.6256308992015
2025-03-06,48006.117523557055,48251.36078010134,245.24325654428685
2025-03-07,17167.898720796627,19832.984698125656,2665.0859773290285
2025-03-08,18425.06643568771,17868.76283460039,-556.3036010873184
