date,total_cost_yuan_new,total_cost_yuan_baseline,saving_yuan
2025-02-01,27815.774261120536,23871.96037123408,-3943.8138898864563
2025-02-02,58113.41004256656,56496.64445133518,-1616.7655912313785
2025-02-03,57358.78690864853,58680.63384041197,1321.8469317634372
2025-02-04,57352.74012124491,59135.62644598235,1782.8863247374393
2025-02-05,57107.26596258075,57835.78104848926,728.5150859085115
2025-02-06,57654.23733331268,57542.244332245005,-111.99300106767623
2025-02-07,22838.451137799006,22249.299123541707,-589.152014257299
2025-02-08,22385.34213086034,32187.279619705165,9801.937488844826
2025-02-09,55729.376030625244,63535.54930124219,7806.173270616942
2025-02-10,55961.84590546925,54964.61087868722,-997.2350267820293
2025-02-11,55344.606969638706,57685.03028638949,2340.4233167507846
2025-02-12,54682.75617379522,55919.03038894987,1236.2742151546481
2025-02-13,50981.92665260798,52362.79310593251,1380.866453324532
2025-02-14,18543.299303982614,26218.139662268142,7674.840358285528
2025-02-15,19600.597505578215,22210.34112009834,2609.7436145201245
2025-02-16,53263.88941266506,57117.40394607719,3853.514533412126
2025-02-17,50106.55243195812,51857.13703780031,1750.5846058421885
2025-02-18,49261.24064704438,54275.3457909779,5014.105143933521
2025-02-19,49283.73370322265,56002.57419080985,6718.8404875872
2025-02-20,47683.883108745744,50661.41397438002,2977.530865634275
2025-02-21,18120.945831455017,21390.335395594648,3269.3895641396302
2025-02-22,18909.27128625131,26395.61296644227,7486.341680190959
2025-02-23,48043.70440897636,50249.98930250166,2206.2848935252987
2025-02-24,48132.192561456046,49167.397520152765,1035.2049586967187
2025-02-25,47821.11474171192,47570.41274563475,-250.70199607717223
2025-02-26,47370.761310816895,57640.555314613855,10269.79400379696
2025-02-27,48751.291399780595,53875.55826202436,5124.266862243763
2025-02-28,17427.346479031028,24628.135976542373,7200.789497511345
2025-03-01,18620.50440528498,18870.028877798784,249.52447251380363
2025-03-02,60922.265191217564,67292.0735173558,6369.808326138242
2025-03-03,50382.2177816625,54654.62673767373,4272.408956011233
2025-03-04,50393.6355343298,50221.97717229667,-171.65836203312938
2025-03-05,49561.65815682824,50322.24334906386,760.585192235616
2025-03-06,46702.78183504487,48251.36078010134,1548.5789450564698
2025-03-07,16584.480228245957,19832.984698125656,3248.504469879699
2025-03-08,20303.9139633601,17868.76283460039,-2435.1511287597095
2025-03-09,43763.39900306713,44177.67023100343,414.27122793630406
2025-03-10,48533.03274481793,65015.30634447571,16482.273599657783
2025-03-11,44479.47653714491,47178.073019237374,2698.5964820924637
2025-03-12,44409.4522801982,44383.67712237204,-25.775157826159557
2025-03-13,45045.16582134686,69533.44336964507,24488.27754829821
2025-03-14,16387.320247381478,21800.81625980729,5413.4960124258105
2025-03-15,18236.392452433116,20635.49012908661,2399.097676653495
2025-03-16,44652.35786152705,49490.43700868391,4838.079147156859
2025-03-17,43579.57101931924,41787.93023161975,-1791.6407876994926
2025-03-18,42441.55337202955,57175.8790910429,14734.325719013352
2025-03-19,42081.24395098583,41978.72486660444,-102.51908438139071
