date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,planner_fallback,solver_gap,solve_seconds,controller_seconds,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,plan_cost_yuan,emergency_cost_yuan,dispatch_fallback,total_cost_yuan
2025-02-01,True,1200.0,9703.782684320104,Optimal,False,0.0,0.07931689999531955,0.07395120000001043,54788.96905281111,27802.357967839504,14866.505538061907,9.964029601405855e-12,7474.940689700186,27815.7742611205,3.796117753473993e-11,0,27815.774261120536
2025-02-02,True,9703.782684320104,9502.839761386243,Optimal,False,0.0,0.0656965000089258,0.07371400001284201,91588.84719416813,21393.7322140829,17509.771724047623,1.0302869668521453e-11,9348.60875413287,58113.410042566524,3.8893716691745795e-11,0,58113.41004256656
2025-02-03,True,9502.839761386243,9326.37321634127,Optimal,False,0.0,0.0652708999987226,0.07485560000350233,90694.67016811288,21833.975827375067,17844.34031071428,1.2227552304011624e-11,6488.118151452107,57358.78690864848,4.956987664783696e-11,0,57358.78690864853
2025-02-04,True,9326.37321634127,9478.966192843918,Optimal,False,0.0,0.07136909999826457,0.07259559999511112,90786.9225580335,23678.122469482656,19041.94552142857,1.3574918966696714e-11,4955.8816599794345,57352.74012124487,5.011389703213354e-11,0,57352.74012124492
2025-02-05,True,9478.966192843918,9457.149270013226,Optimal,False,0.0,0.07313609999255277,0.07194570000865497,90284.75437397708,23151.85467794434,18772.63751968254,1.6382750000118147,5158.74850738195,57107.26596258071,3.4796961000440896,0,57110.74565868075
2025-02-06,True,9457.149270013226,9370.712395793653,Optimal,False,0.0,0.07564179999462795,0.07397129999299068,90859.41036484127,22237.132127998233,18089.870210476187,12.609090476200564,6453.700321128759,57580.58133129597,73.65600201670813,0,57654.23733331268
2025-02-07,True,9370.712395793653,9218.075419805993,Optimal,False,0.0,0.07744799999636598,0.07264199999917764,44029.96062767213,19016.28592293944,15540.564875969843,1.0739853451013914e-11,8748.559914035877,22838.451137798973,3.604054477079899e-11,0,22838.45113779901
2025-02-08,True,9218.075419805993,9431.44148624779,Optimal,False,0.0,0.10439880000194535,0.07955700000457,43173.6328162767,18649.292111841078,14913.897150793655,7.192468842731614e-12,7861.0751385626245,22385.342130860317,2.6386365981068138e-11,0,22385.342130860343
2025-02-09,True,9431.44148624779,9148.879535632277,Optimal,False,0.0001647207567022892,0.0427683000016259,0.07480560000112746,88219.26126766119,22161.064502255544,18204.76800238095,1.3884449145962208e-11,4707.548801119942,55729.3760306252,4.579200196808131e-11,0,55729.376030625244
2025-02-10,True,9148.879535632277,9048.292863256609,Optimal,False,0.0006149129080140188,0.0417985999956727,0.07829340000171214,88645.65804221666,19196.395320432097,15639.6082146881,9.704237413643568e-12,10762.233353139349,55961.84590546922,3.2048064646517105e-11,0,55961.84590546925
2025-02-11,True,9048.292863256609,8961.92835354497,Optimal,False,0.0,0.04177429999981541,0.07439789999625646,88133.52615493535,21214.76263676955,17261.68579452381,1.0587974941245193e-11,8959.852179356276,55344.60696963867,3.663841763312803e-11,0,55344.606969638706
2025-02-12,True,8961.92835354497,9048.266767306875,Optimal,False,0.0,0.08009699999820441,0.07310900000447873,87205.94141481776,21452.11579806585,17298.509224047626,9.705125592063268e-12,7785.598707466208,54682.75617379519,3.235717427330087e-11,0,54682.75617379522
