date,total_cost_yuan_new,total_cost_yuan_baseline,saving_yuan
2025-02-01,26184.765052134662,27815.774261120536,1631.0092089858736
2025-02-02,57239.53321039069,58113.41004256656,873.8768321758689
2025-02-03,56209.89299671269,57358.78690864853,1148.8939119358402
2025-02-04,56355.99598046443,57352.74012124491,996.7441407804799
2025-02-05,56075.85552346292,57107.26596258075,1031.4104391178334
2025-02-06,56169.35899642045,57654.23733331268,1484.8783368922304
2025-02-07,21843.05453654287,22838.45113779901,995.3966012561395
2025-02-08,21131.46559382506,22385.34213086034,1253.8765370352776
2025-02-09,54896.67062933737,55729.37603062525,832.7054012878798
2025-02-10,55411.361930233084,55961.84590546925,550.4839752361659
2025-02-11,54424.549006000605,55344.60696963871,920.057963638108
2025-02-12,54239.76250219981,54682.75617379522,442.99367159541
2025-02-13,49615.492873088224,50981.92665260798,1366.433779519757
2025-02-14,21958.456488213124,18543.29930398261,-3415.157184230513
2025-02-15,22773.419399990595,19600.59750557821,-3172.8218944123837
2025-02-16,56886.415596473176,53263.88941266506,-3622.5261838081133
2025-02-17,50843.76798078426,50106.55243195812,-737.2155488261342
2025-02-18,49868.70890406869,49261.24064704438,-607.4682570243094
2025-02-19,54038.984551410496,49283.73370322265,-4755.250848187847
2025-02-20,48974.96162475624,47683.883108745744,-1291.0785160104933
2025-02-21,17848.11136678795,18120.945831455017,272.83446466706664
2025-02-22,18864.01202691478,18909.27128625131,45.259259336529794
2025-02-23,49112.300236071445,48043.70440897636,-1068.5958270950869
2025-02-24,49884.15021614659,48132.192561456046,-1751.9576546905446
2025-02-25,47469.65988258199,47821.11474171192,351.4548591299317
2025-02-26,47220.61650963561,47370.761310816895,150.14480118128267
2025-02-27,50329.96878742497,48751.2913997806,-1578.6773876443694
2025-02-28,17541.357630931914,17427.346479031028,-114.01115190088603
2025-03-01,19547.29439995756,18620.50440528498,-926.7899946725774
2025-03-02,62329.686145875305,60922.26519121757,-1407.420954657733
2025-03-03,50192.40790974268,50382.2177816625,189.80987191981694
2025-03-04,49108.03547543273,50393.6355343298,1285.600058897071
2025-03-05,48328.09120692317,49561.65815682824,1233.566949905071
2025-03-06,45364.520187844464,46702.78183504487,1338.2616472004083
2025-03-07,15985.989886455598,16584.480228245957,598.4903417903588
2025-03-08,21267.570299873412,20303.9139633601,-963.6563365133115
2025-03-09,42708.784809995035,43763.39900306713,1054.6141930720914
2025-03-10,57360.18602661427,48533.03274481793,-8827.153281796338
2025-03-11,45349.10946708516,44479.47653714491,-869.6329299402496
2025-03-12,43594.06779847903,44409.4522801982,815.3844817191712
2025-03-13,49813.174090994056,45045.16582134686,-4768.0082696471945
2025-03-14,16635.817372210004,16387.320247381478,-248.49712482852556
2025-03-15,18285.43925576312,18236.39245243312,-49.04680333000215
2025-03-16,43230.236280407684,44652.35786152705,1422.1215811193688
2025-03-17,42037.9668297945,43579.57101931924,1541.60418952474
2025-03-18,41191.780587083034,42441.55337202955,1249.7727849465155
2025-03-19,40801.69131814189,42081.24395098583,1279.5526328439373
2025-03-20,40753.60779079331,39719.78418580444,-1033.8236049888656
2025-03-21,15378.564706232155,15736.772433428185,358.20772719602974
2025-03-22,17867.44461215013,18226.259113979475,358.8145018293435
2025-03-23,39995.74508839406,41693.665230691935,1697.920142297873
2025-03-24,40328.86908975497,40776.97367939312,448.1045896381547
2025-03-25,43269.8125142784,40584.341597524966,-2685.470916753431
2025-03-26,39059.893687483214,40619.68195775936,1559.788270276149
2025-03-27,37338.84269621262,38518.85994835605,1180.0172521434288
2025-03-28,14999.21695304401,15601.433053579824,602.2161005358139
2025-03-29,16653.08508157339,17084.068765854972,430.9836842815821
2025-03-30,37971.903100652315,38921.38870439305,949.4856037407371
2025-03-31,39435.98995905833,39895.187892741305,459.1979336829754
2025-04-01,48638.70534615338,42078.16560822159,-6560.539737931787
2025-04-02,48042.257331980014,46761.89658599271,-1280.360745987302
2025-04-03,37331.397986027936,38570.63286017584,1239.2348741479072
2025-04-04,14066.574921055493,14871.967663004489,805.3927419489955
2025-04-05,16534.28100888284,16968.125241515736,433.844232632895
2025-04-06,38431.98144934982,39436.21584595577,1004.2343966059489
2025-04-07,37665.64584869472,39124.3647869333,1458.7189382385768
2025-04-08,37546.6264226355,38543.6500130217,997.0235903862049
2025-04-09,42126.34425846032,39474.417622107765,-2651.926636352553
2025-04-10,35006.22704358065,36170.68614727166,1164.4591036910133
2025-04-11,14034.119462961924,14353.82083979788,319.70137683595567
2025-04-12,16082.663739612532,16839.371096847197,756.7073572346653
2025-04-13,36108.08402831556,37328.01796001009,1219.933931694526
2025-04-14,35865.4502270035,36971.89209514392,1106.4418681404204
2025-04-15,36135.36436100652,37361.298189479785,1225.9338284732657
2025-04-16,35779.69773092317,36848.54692838522,1068.8491974620483
2025-04-17,33102.729945415726,34218.31559600789,1115.585650592162
2025-04-18,13404.915583114533,13778.314564241296,373.39898112676383
2025-04-19,15762.961947505213,16140.355304814288,377.3933573090744
2025-04-20,34715.4470519498,36066.448466887865,1351.0014149380659
2025-04-21,34230.69868640432,35593.794199965974,1363.0955135616532
2025-04-22,35289.98349935741,35814.226056602645,524.2425572452339
2025-04-23,34659.880884383354,35739.704256494224,1079.82337211087
2025-04-24,31111.96952910387,32588.458451507737,1476.488922403867
2025-04-25,12487.974707930449,13031.6347968687,543.6600889382516
2025-04-26,14852.20832266256,15734.193653709986,881.9853310474264
2025-04-27,34058.2787125715,35243.29253292893,1185.0138203574315
2025-04-28,68719.39391597116,58078.13048598509,-10641.263429986066
2025-04-29,34355.01782312379,35476.38212149191,1121.3642983681202
2025-04-30,32612.59925550957,34006.07401140814,1393.4747558985728
2025-05-01,41448.19763677983,41079.91951737941,-368.2781194004201
2025-05-02,28611.79049398668,25806.005023632497,-2805.7854703541816
2025-05-03,26300.436007665856,23752.680638951373,-2547.7553687144828
2025-05-04,45372.16137696705,42810.992300835285,-2561.169076131766
2025-05-05,51843.24361914567,43738.81079166191,-8104.432827483761
2025-05-06,40852.99915575756,41117.20840561323,264.2092498556667
2025-05-07,47654.340133258826,45298.278213151054,-2356.0619201077716
2025-05-08,38388.54227647283,37058.659741170406,-1329.8825353024222
2025-05-09,15779.628374946338,16373.282743733034,593.6543687866961
2025-05-10,22574.116780042343,18403.438611782098,-4170.678168260245
2025-05-11,38835.1792617149,40372.223531617776,1537.044269902879
2025-05-12,37202.2116897655,39059.39761969553,1857.1859299300268
2025-05-13,36888.40201401674,38086.23916997929,1197.837155962552
2025-05-14,36881.14773065458,38101.62446122378,1220.4767305692003
2025-05-15,34849.728177261066,35741.26335823726,891.5351809761924
2025-05-16,14516.932073494232,15051.349893528588,534.4178200343558
2025-05-17,17297.338567600746,17986.45139920896,689.112831608214
2025-05-18,37360.777657551014,37691.20144475328,330.42378720226407
2025-05-19,36800.899232858195,38068.45415253864,1267.5549196804423
2025-05-20,36575.91306623812,37330.80454742099,754.8914811828654
2025-05-21,36969.614058336,37710.74387666085,741.1298183248437
2025-05-22,34290.63930768775,35089.7376020163,799.098294328549
2025-05-23,14814.689031188063,15240.342077424357,425.65304623629345
2025-05-24,17683.060123397725,18570.87861188025,887.8184884825241
2025-05-25,36811.237988180306,37828.255092757965,1017.0171045776588
2025-05-26,36190.43616759733,37346.30113873352,1155.864971136194
2025-05-27,36827.16208505441,38009.94382190109,1182.7817368466785
2025-05-28,36344.62330504104,37786.66117460769,1442.0378695666514
2025-05-29,34593.5074038951,34755.01369205544,161.5062881603444
2025-05-30,15536.017436942015,15403.431264017669,-132.5861729243461
2025-05-31,17258.283004652705,18609.02229177317,1350.7392871204647
2025-06-01,103403.38817833204,92823.023415914,-10580.364762418045
2025-06-02,81468.78439119477,72142.53496985046,-9326.249421344313
2025-06-03,73100.748512655,62069.91773861754,-11030.830774037458
2025-06-04,54093.1498233832,49357.86601969311,-4735.283803690094
2025-06-05,60875.62553808134,49953.39921891506,-10922.226319166279
2025-06-06,39984.81811705736,36198.70829132749,-3786.1098257298654
2025-06-07,27790.92969707306,26906.505906096598,-884.4237909764634
2025-06-08,51623.43685167609,53287.53909658866,1664.102244912574
2025-06-09,53750.42489807983,54797.68495112866,1047.260053048827
2025-06-10,57130.28474752747,57921.2088899575,790.9241424300344
2025-06-11,64484.37539464798,63009.0856229621,-1475.2897716858788
2025-06-12,53416.88863964444,54772.97619442118,1356.0875547767355
2025-06-13,24699.886699521947,25235.89415512914,536.0074556071922
2025-06-14,26899.823250688933,27212.88553373832,313.0622830493885
2025-06-15,54824.44500021709,56343.97014145205,1519.5251412349608
2025-06-16,54193.618572610954,55627.56966104989,1433.9510884389383
2025-06-17,52937.50621257163,54373.26063541593,1435.7544228443003
2025-06-18,54894.22161603193,56414.18156567519,1519.9599496432638
2025-06-19,52601.76164139504,54022.37235205062,1420.6107106555792
2025-06-20,23354.853011280054,22933.87640474556,-420.97660653449566
2025-06-21,25552.889148847473,25525.666271143546,-27.222877703927225
2025-06-22,50399.10915101704,51628.72610226015,1229.6169512431152
2025-06-23,50791.199216163855,52071.11980486394,1279.9205887000862
2025-06-24,67908.06049622394,61925.806942339696,-5982.253553884249
2025-06-25,52333.90861076218,54167.55205749552,1833.6434467333456
2025-06-26,51675.89385691257,53394.47692237841,1718.583065465842
2025-06-27,22257.747641866576,22539.441898624595,281.69425675801904
2025-06-28,23372.279036602155,23440.20734445559,67.9283078534354
2025-06-29,51490.378060749485,52799.57167961467,1309.193618865189
2025-06-30,52630.020919183786,52553.18922676097,-76.83169242281292
2025-07-01,59386.735785974015,58406.61356997352,-980.1222160004982
2025-07-02,61629.96003185019,60166.253964346215,-1463.7060675039756
