energy,value
1200.0,0.0
1600.0,-180.30036163637124
2000.0,-384.51019907810405
2400.0,-572.104741195224
2800.0,-768.8868451701419
3200.0,-963.1766688908465
3600.0,-1154.9534603205539
4000.0,-1344.2302700109576
4400.0,-1505.5384538061844
4800.0,-1725.0514442423664
5200.0,-1890.431868474363
5600.0,-2104.666952265259
6000.0,-2280.170944010366
6400.0,-2483.8567217858435
6800.0,-2665.407557472834
7200.0,-2862.341819415211
7600.0,-3039.6083822594082
8000.0,-3238.4183934780594
8400.0,-3434.8524076403337
8800.0,-3626.0214624099754
9200.0,-3799.6728374461454
9600.0,-3999.9158604035474
10000.0,-4187.0721727068885
10400.0,-4353.819397231535
10800.0,-4518.3772204963825
