date,plan_fee_yuan,emergency_fee_yuan,emergency_kwh,adjustment_abs_kwh,increase_fee_yuan,refund_yuan,decrease_penalty_yuan,base_plan_fee_yuan,final_contract_fee_yuan,bill_identity_error_yuan,total_fee_yuan,start_soc_kwh,end_soc_kwh,unused_kwh,conversion_loss_kwh
2025-02-01,23155.562849613027,4.2119080889690966e-11,1.2224443679542674e-11,3419.822078063258,51.24301829240068,-2089.8337884799057,1044.9168942399529,24149.23672556058,22093.564949275606,0.0,23155.56284961307,1200.0,2379.316261554797,2828.1732761764065,3767.1072796334756
2025-02-02,56207.40149298357,4.434749123483073e-11,1.1303180613708719e-11,4221.673589436123,134.05515104172542,-2842.1191306350665,1421.0595653175333,57494.40590725937,54741.65687731879,0.0,56207.40149298361,2379.316261554797,2357.3085373073254,3746.5026964834137,4094.8412809392457
2025-02-03,57044.260231154745,7.236873122984377e-11,1.7827517240220914e-11,5605.525781649112,7.1000991844280685,-4097.176114362161,2048.5880571810803,59085.7481891514,54993.30547424553,-7.275957614183426e-12,57044.26023115482,2357.3085373073254,2110.3392120495687,2695.488364747117,4289.339464302856
2025-02-04,58801.663961601014,6.745106717609418e-11,1.6241008538031565e-11,6222.104204843141,70.08267414885555,-4431.227599044044,2215.613799522022,60947.195086974185,56562.689270696064,-2.1827872842550278e-11,58801.66396160108,2110.3392120495687,2090.3088847822687,3552.214656200426,4333.35314367253
2025-02-05,56674.10544087793,5.740795239184138e-11,1.6149526160802452e-11,2964.0690657438317,290.76432667037403,-2033.7220370744135,1016.8610185372067,57400.20213274476,55560.322980117264,0.0,56674.10544087799,2090.3088847822687,2323.1361200160545,2236.64411570581,4295.560493525085
2025-02-06,58293.55631230371,67.4708827334154,11.550266666688707,8727.962064142752,8.31031220149671,-6394.154793758059,3197.0773968790295,61482.32339698124,55093.708811357516,-7.275957614183426e-12,58361.027195037124,2323.1361200160545,2171.6358065645613,2786.995535890748,4322.05542912724
2025-02-07,22347.259397373786,4.0420619296099856e-11,1.087296919166647e-11,4499.156018463263,0.0,-2646.012866330071,1323.0064331650356,23670.26583053882,21024.25296420875,0.0,22347.259397373826,2171.6358065645613,1908.6295229307084,5281.977347918048,3582.8447802274645
2025-02-08,20407.97235277022,4.7599092667383046e-11,1.389999226830696e-11,664.083418602933,644.9350206669236,-120.18152427608294,60.09076213804147,19823.128094241336,20132.903250409865,3.637978807091713e-12,20407.972352770266,1908.6295229307084,2143.455247016343,3264.428985854801,3563.4288275526324
2025-02-09,56643.84484999305,5.0622737113315e-11,1.4315659768726618e-11,3053.9644652129423,97.40597715696637,-2061.641990524414,1030.820995262207,57577.25986809829,55580.55519567852,0.0,56643.844849993104,2143.455247016343,2006.8656492293987,3930.874640025303,4136.3034057370305
2025-02-10,52757.38068446765,6.161695642603606e-11,1.5777601447553025e-11,8286.344451410127,773.3064346882757,-5216.9698399444615,2608.4849199722307,54592.55916975161,49891.126952932675,-1.4551915228366852e-11,52757.38068446771,2006.8656492293987,1901.8582154807161,1280.0201326987292,4244.439765206036
2025-02-11,53089.290584222195,5.64434969874128e-11,1.5707435352396715e-11,6809.682081592941,0.0,-5043.638573233543,2521.8192866167715,55611.10987083896,50567.471297605414,7.275957614183426e-12,53089.29058422225,1901.8582154807161,1799.7901903207808,1426.9589969292194,4285.277567231236
2025-02-12,53041.682843504146,6.800432883480312e-11,1.7147172570730618e-11,7123.733897769296,19.824081212571862,-5002.3783525242,2501.1891762621,55523.04793855367,50533.88564017118,7.275957614183426e-12,53041.68284350421,1799.7901903207808,1686.888320527503,1148.05675747811,4348.386213755019
2025-02-13,48294.46938246821,1160.6215774566328,212.45993702308226,4098.586842741243,776.6286081519545,-2197.6515720457983,1098.8257860228991,48616.66656033915,46936.76739372799,0.0,49455.09095992484,1686.888320527503,1442.7319685604457,758.5820789236069,4325.931529066769
2025-02-14,19407.332480566114,429.8262234243858,197.02000983727027,1282.3539047287886,1583.3829643544636,0.0,0.0,17823.94951621165,18879.53815911463,-3.637978807091713e-12,19837.1587039905,1442.7319685604457,1599.477076240497,2468.063287303456,3612.2079240159032
2025-02-15,18917.14837438024,1759.2747645284462,419.7942911999181,1768.2621215837291,831.2266652057641,-712.6045336832844,356.3022668416422,18442.223976016117,18283.770552470007,0.0,20676.423138908685,1599.477076240497,1200.0,2802.7637861111243,3542.59782731463
2025-02-16,52429.989075733756,3643.901547491008,816.7667819379709,8049.903960886238,1643.0922762576047,-4648.780907847152,2324.390453923576,53111.28725339973,49557.90119639098,0.0,56073.89062322476,1200.0,1461.026775410563,132.9062371282235,4274.728034470749
2025-02-17,50075.27694549928,938.0663660721434,153.99810601533824,9148.817798561475,933.3521415735671,-5768.402874395403,2884.2014371977016,52026.12624112342,46879.95812777706,-7.275957614183426e-12,51013.34331157142,1461.026775410563,1365.097152729887,784.2514449769474,4216.171644582284
