date,plan_fee_yuan,emergency_fee_yuan,emergency_kwh,adjustment_abs_kwh,increase_fee_yuan,refund_yuan,decrease_penalty_yuan,base_plan_fee_yuan,final_contract_fee_yuan,bill_identity_error_yuan,total_fee_yuan,start_soc_kwh,end_soc_kwh,unused_kwh,conversion_loss_kwh
2025-02-01,25007.040674483593,5.434964520101282e-11,1.4124978964247248e-11,6989.360309056586,0.0,-5154.2870717229625,2577.1435358614813,27584.184210345076,22429.897138622116,-3.637978807091713e-12,25007.040674483647,1200.0,2449.0137138888854,3411.4486226337494,3649.5171588940357
2025-02-02,56652.10766674629,5.450972673237686e-11,1.56008539420327e-11,4161.480188596711,19.900341547500403,-3174.8847005450502,1587.4423502725251,58219.649675471315,55058.03186929127,-7.275957614183426e-12,56652.10766674634,2449.0137138888854,2440.8697052873426,3796.0137254904207,3940.3027722603283
2025-02-03,57524.61684033038,7.397321899471621e-11,1.8771872944967072e-11,6079.158646134398,115.22335447783591,-4714.90350291461,2357.451751457305,59766.845237309855,55128.757304047125,7.275957614183426e-12,57524.616840330455,2440.8697052873426,2226.556550874074,2537.9794319550824,4190.5753093151925
2025-02-04,59330.95235148947,6.409857389311213e-11,1.4284795568642039e-11,6782.356207442007,58.24188720249497,-5390.159421545621,2695.0797107728104,61967.79017505978,56616.45867831584,-1.4551915228366852e-11,59330.95235148953,2226.556550874074,2396.4643019873633,2932.840254959002,4157.9912804322375
2025-02-05,56968.997873776265,5.687037596402433e-11,1.521706372020759e-11,2398.6689286280475,11.714574486252992,-1700.4589225213801,850.2294612606901,57807.5127605507,56114.86355435349,0.0,56968.99787377632,2396.4643019873633,2143.724222500008,3020.129170291867,3923.0751256961894
2025-02-06,59208.968659377635,7.546423258508739e-11,1.8286872016659572e-11,9152.40891731753,99.52592074698278,-6910.551373643763,3455.2756868218817,62564.718425452535,55720.51766564009,7.275957614183426e-12,59208.96865937771,2143.724222500008,2383.76576905741,2470.9829765432437,3966.926261045129
2025-02-07,27102.711590549938,4.4332080229025906e-11,1.2864376230936614e-11,6943.196457219496,2223.647783167886,-4071.7429920573795,2035.8714960286898,26914.935303410744,24325.62416679862,-3.637978807091713e-12,27102.71159054998,2383.76576905741,1998.3222345370375,9967.22456226544,3000.7889473815726
2025-02-08,23170.538737149418,3.133175657810128e-11,7.419176384360071e-12,2410.2229538048646,194.47676747289495,-1898.9261689816256,949.4630844908128,23925.525054167338,22156.25006350098,-3.637978807091713e-12,23170.53873714945,1998.3222345370375,2324.4127383845666,6108.578417729784,2995.4030851366942
2025-02-09,57586.89715051599,7.095395154754769e-11,1.8073764707082773e-11,3250.2845998862435,137.3275478075019,-2534.7574115776124,1267.3787057888062,58716.9483084973,56273.74259545802,0.0,57586.897150516066,2324.4127383845666,2191.3640849691346,4094.344892903817,3811.516996327732
2025-02-10,53665.287115164385,6.329883360176036e-11,1.6240266076383847e-11,9245.946975738008,1131.4427804835445,-6474.6246727026355,3237.3123363513178,55771.156671032164,50050.82718531856,-7.275957614183426e-12,53665.28711516445,2191.3640849691346,2047.568006624998,1076.9464728419316,4066.3973117920104
