date,update_hour,interval,previous_kwh,new_kwh,increase_kwh,decrease_kwh,price
2025-02-01,6,36,0.0,0.0,0.0,0.0,0.9368
2025-02-01,6,37,0.0,0.0,0.0,0.0,0.8758
2025-02-01,6,38,0.0,0.0,0.0,0.0,0.8759
2025-02-01,6,39,0.0,0.0,0.0,0.0,0.8601
2025-02-01,6,40,450.49093756943125,0.0,0.0,450.49093756943125,0.8442
2025-02-01,6,41,561.9328166666667,0.0,0.0,561.9328166666667,0.8334
2025-02-01,6,42,515.6761666666669,0.0,0.0,515.6761666666669,0.8092
2025-02-01,6,43,479.40301666666664,0.0,0.0,479.40301666666664,0.7972
2025-02-01,6,44,424.0458666666667,0.0,0.0,424.0458666666667,0.7644
2025-02-01,6,45,374.17799166666674,0.0,0.0,374.17799166666674,0.6899
2025-02-01,6,46,0.0,0.0,0.0,0.0,0.86
2025-02-01,6,47,0.0,0.0,0.0,0.0,1.1617
2025-02-01,6,48,0.0,0.0,0.0,0.0,1.1683
2025-02-01,6,49,0.0,0.0,0.0,0.0,1.0956
2025-02-01,6,50,0.0,0.0,0.0,0.0,1.0849
2025-02-01,6,51,0.0,0.0,0.0,0.0,1.061
2025-02-01,6,52,0.0,0.0,0.0,0.0,1.043
2025-02-01,6,53,0.0,0.0,0.0,0.0,1.036
2025-02-01,6,54,0.0,0.0,0.0,0.0,1.0147
2025-02-01,6,55,0.0,0.0,0.0,0.0,0.9922
2025-02-01,6,56,0.0,0.0,0.0,0.0,0.97
2025-02-01,6,57,0.0,0.0,0.0,0.0,0.9422
2025-02-01,6,58,0.0,0.0,0.0,0.0,0.9569
2025-02-01,6,59,0.0,0.0,0.0,0.0,0.9977
2025-02-01,6,60,0.0,0.0,0.0,0.0,0.9919
2025-02-01,6,61,0.0,0.0,0.0,0.0,0.9588
2025-02-01,6,62,0.0,0.0,0.0,0.0,0.9549
2025-02-01,6,63,0.0,0.0,0.0,0.0,0.9839
2025-02-01,6,64,0.0,0.0,0.0,0.0,0.799
2025-02-01,6,65,0.0,0.0,0.0,0.0,0.5025
2025-02-01,6,66,0.0,0.0,0.0,0.0,0.4662
2025-02-01,6,67,0.0,0.0,0.0,0.0,0.5007
2025-02-01,6,68,0.0,0.0,0.0,0.0,0.4827
2025-02-01,6,69,342.2677777777774,0.0,0.0,342.2677777777774,0.4785
2025-02-01,6,70,0.0,0.0,0.0,0.0,0.4662
2025-02-01,6,71,472.65344999999945,0.0,0.0,472.65344999999945,0.4432
2025-02-01,6,72,536.4561388888889,0.0,0.0,536.4561388888889,0.4411
2025-02-01,6,73,0.962443672832535,0.0,0.0,0.962443672832535,0.4551
2025-02-01,6,74,0.0,0.0,0.0,0.0,0.4463
2025-02-01,6,75,567.3943888888888,0.0,0.0,567.3943888888888,0.4113
2025-02-01,6,76,0.0,0.0,0.0,0.0,0.5682
2025-02-01,6,77,0.0,0.0,0.0,0.0,0.8279
2025-02-01,6,78,0.0,0.0,0.0,0.0,0.8636
2025-02-01,6,79,0.0,0.0,0.0,0.0,0.8416
2025-02-01,6,80,0.0,0.0,0.0,0.0,0.8618
2025-02-01,6,81,0.0,0.0,0.0,0.0,0.8623
2025-02-01,6,82,0.0,0.0,0.0,0.0,0.9026
2025-02-01,6,83,0.0,0.0,0.0,0.0,0.9754
2025-02-01,6,84,0.0,0.0,0.0,0.0,1.0002
2025-02-01,6,85,0.0,0.0,0.0,0.0,0.9978
2025-02-01,6,86,0.0,0.0,0.0,0.0,1.0271
2025-02-01,6,87,0.0,0.0,0.0,0.0,1.0906
2025-02-01,6,88,23.007488888888474,0.0,0.0,23.007488888888474,0.9376
2025-02-01,6,89,52.33596666666665,0.0,0.0,52.33596666666665,0.6694
2025-02-01,6,90,418.70901846708693,57.94032222222222,0.0,360.7686962448647,0.66
2025-02-01,6,91,153.7167472222224,46.053902777777694,0.0,107.66284444444472,0.7217
2025-02-01,6,92,230.18666666664598,101.86459166666657,0.0,128.3220749999794,0.7308
2025-02-01,6,93,300.4789388888888,179.48644722222213,0.0,120.9924916666667,0.7534
2025-02-01,6,94,359.1297222222222,231.96164444444435,0.0,127.16807777777785,0.7823
2025-02-01,6,95,393.97778333333326,208.15881666666672,0.0,185.81896666666654,0.8055
2025-02-01,6,96,373.69191111111104,228.48729722222225,0.0,145.2046138888888,0.8271
2025-02-01,6,97,425.3627472222223,323.49664444444437,0.0,101.86610277777794,0.8519
2025-02-01,6,98,461.9158,434.6894500000001,0.0,27.22634999999991,0.8791
2025-02-01,6,99,509.2137888888888,433.67963055555555,0.0,75.53415833333327,0.9024
2025-02-01,6,100,440.3577444444444,411.60389444444445,0.0,28.753849999999943,0.9163
2025-02-01,6,101,406.32748333333336,403.86905,0.0,2.458433333333346,0.9264
2025-02-01,6,102,436.48658888888906,421.67715277777785,0.0,14.80943611111121,0.9462
2025-02-01,6,103,451.09463333333787,440.3117444444443,0.0,10.78288888889358,0.9742
2025-02-01,6,104,434.64497500000016,434.64497500000016,0.0,0.0,0.9862
2025-02-01,6,105,440.2492638888889,440.2492638888889,0.0,0.0,0.976
2025-02-01,6,106,453.99864444447127,447.30573611111106,0.0,6.692908333360208,1.0742
2025-02-01,6,107,424.7258333333334,229.29630608333315,0.0,195.42952725000026,1.2313
2025-02-01,6,108,0.0,0.0,0.0,0.0,1.2561
2025-02-01,6,109,80.92375476389047,0.0,0.0,80.92375476389047,1.2447
2025-02-01,6,110,0.0,0.0,0.0,0.0,1.2545
2025-02-01,6,111,0.0,0.0,0.0,0.0,1.2522
2025-02-01,6,112,0.0,0.0,0.0,0.0,1.2881
2025-02-01,6,113,0.0,0.0,0.0,0.0,1.3466
2025-02-01,6,114,0.0,0.0,0.0,0.0,1.3523
2025-02-01,6,115,0.0,0.0,0.0,0.0,1.3445
2025-02-01,6,116,0.0,0.0,0.0,0.0,1.3483
2025-02-01,6,117,0.0,0.0,0.0,0.0,1.349
2025-02-01,6,118,0.0,0.0,0.0,0.0,1.3473
2025-02-01,6,119,0.0,0.0,0.0,0.0,1.3482
2025-02-01,6,120,0.0,0.0,0.0,0.0,1.3513
2025-02-01,6,121,0.0,0.0,0.0,0.0,1.34
2025-02-01,6,122,0.0,0.0,0.0,0.0,1.3489
2025-02-01,6,123,0.0,0.0,0.0,0.0,1.3952
2025-02-01,6,124,468.78756666666686,457.78296666666677,0.0,11.004600000000096,1.2226
2025-02-01,6,125,508.44916666666666,508.44916666666666,0.0,0.0,0.9332
2025-02-01,6,126,473.48469999999986,473.48469999999986,0.0,0.0,0.9068
2025-02-01,6,127,458.1345583333333,458.1345583333333,0.0,0.0,0.9371
2025-02-01,6,128,465.7283333333333,465.7283333333333,0.0,0.0,0.9371
2025-02-01,6,129,471.2403499999999,471.2403499999999,0.0,0.0,0.9871
2025-02-01,6,130,446.1509416666581,446.1509416666581,0.0,0.0,0.7764
2025-02-01,6,131,438.24916666666667,438.24916666666667,0.0,0.0,0.4209
2025-02-01,6,132,423.0543416666737,423.0543416666737,0.0,0.0,0.3859
2025-02-01,6,133,444.68632499999995,444.68632499999995,0.0,0.0,0.4368
2025-02-01,6,134,473.21,473.21,0.0,0.0,0.4198
2025-02-01,6,135,434.71116666666666,434.71116666666666,0.0,0.0,0.4186
2025-02-01,6,136,413.7654333333333,413.7654333333333,0.0,0.0,0.4241
2025-02-01,6,137,379.71999999999997,379.71999999999997,0.0,0.0,0.4237
2025-02-01,6,138,420.60845833333326,420.60845833333326,0.0,0.0,0.4248
2025-02-01,6,139,427.1534416666666,427.1534416666666,0.0,0.0,0.424
2025-02-01,6,140,423.15,423.15,0.0,0.0,0.422
2025-02-01,6,141,419.6926166666666,419.6926166666666,0.0,0.0,0.424
2025-02-01,6,142,513.7778,513.7778,0.0,0.0,0.4271
2025-02-01,6,143,637.3183333333333,637.3183333333333,0.0,0.0,0.4276
2025-02-01,12,72,0.0,0.0,0.0,0.0,0.4411
2025-02-01,12,73,0.0,0.0,0.0,0.0,0.4551
2025-02-01,12,74,0.0,0.0,0.0,0.0,0.4463
2025-02-01,12,75,0.0,0.0,0.0,0.0,0.4113
2025-02-01,12,76,0.0,0.0,0.0,0.0,0.5682
2025-02-01,12,77,0.0,0.0,0.0,0.0,0.8279
2025-02-01,12,78,0.0,0.0,0.0,0.0,0.8636
2025-02-01,12,79,0.0,0.0,0.0,0.0,0.8416
2025-02-01,12,80,0.0,0.0,0.0,0.0,0.8618
2025-02-01,12,81,0.0,0.0,0.0,0.0,0.8623
2025-02-01,12,82,0.0,0.0,0.0,0.0,0.9026
2025-02-01,12,83,0.0,0.0,0.0,0.0,0.9754
2025-02-01,12,84,0.0,0.0,0.0,0.0,1.0002
2025-02-01,12,85,0.0,0.0,0.0,0.0,0.9978
2025-02-01,12,86,0.0,0.0,0.0,0.0,1.0271
2025-02-01,12,87,0.0,0.0,0.0,0.0,1.0906
2025-02-01,12,88,0.0,0.0,0.0,0.0,0.9376
2025-02-01,12,89,0.0,0.0,0.0,0.0,0.6694
2025-02-01,12,90,57.94032222222222,57.94032222222222,0.0,0.0,0.66
2025-02-01,12,91,46.053902777777694,46.053902777777694,0.0,0.0,0.7217
2025-02-01,12,92,101.86459166666657,101.86459166666657,0.0,0.0,0.7308
2025-02-01,12,93,179.48644722222213,179.48644722222213,0.0,0.0,0.7534
2025-02-01,12,94,231.96164444444435,231.96164444444435,0.0,0.0,0.7823
