date,plan_fee_yuan,emergency_fee_yuan,emergency_kwh,adjustment_abs_kwh,increase_fee_yuan,refund_yuan,decrease_penalty_yuan,base_plan_fee_yuan,final_contract_fee_yuan,bill_identity_error_yuan,total_fee_yuan,start_soc_kwh,end_soc_kwh,unused_kwh,conversion_loss_kwh
2025-02-01,23134.164457306637,4.202917697204711e-11,1.20378429446788e-11,3323.2950117112528,0.0,-2026.1378094304616,1013.0689047152308,24147.233362021867,22121.095552591403,3.637978807091713e-12,23134.16445730668,1200.0,2459.6783985185198,2763.910736063062,3759.944538415638
2025-02-02,56373.125039421226,3.6107792755757377e-11,9.57101065068855e-12,3577.322009096932,18.937568720000076,-2341.8589810843,1170.92949054215,57525.11696124337,55195.88302597241,-7.275957614183426e-12,56373.12503942126,2459.6783985185198,2466.3303312037015,4201.671004688938,4053.554512094653
2025-02-03,57193.396904265705,7.689444491212893e-11,1.8798983203449637e-11,5488.299499019256,151.8928333714456,-3953.8630016428247,1976.9315008214123,59018.43557171567,55165.83445898715,-7.275957614183426e-12,57193.396904265785,2466.3303312037015,2193.511452043165,2985.7469447581125,4266.283702232163
2025-02-04,59096.43431461753,7.87237574018107e-11,1.9870105560926277e-11,6107.611599600639,127.53927295248089,-4460.913689712062,2230.456844856031,61199.35188652108,56823.46437877734,0.0,59096.43431461761,2193.511452043165,2347.856883964507,3510.045690563891,4305.174715058819
2025-02-05,56961.48363176656,5.645130407572197e-11,1.475886080015698e-11,2706.467778585719,551.4725789336275,-1390.3421208198074,695.1710604099037,57105.18211324283,56082.48837837877,7.275957614183426e-12,56961.48363176662,2347.856883964507,2213.0216074861037,3543.453573142666,4215.924552120384
2025-02-06,58568.09618380607,6.921022488448615e-11,1.6650458789513323e-11,8135.6587124503385,18.684881186896355,-6144.094241323583,3072.0471206617917,61621.45842328096,55489.8207694153,7.275957614183426e-12,58568.09618380614,2213.0216074861037,2394.757997668844,2847.4035272231895,4222.472131512451
2025-02-07,22545.72630591263,3.9628865522445266e-11,1.13473674900888e-11,4503.81162690418,71.29988472484821,-2621.7777282026645,1310.8888641013323,23785.315285289114,21211.070813569684,0.0,22545.72630591267,2394.757997668844,1984.4969365015447,5534.069729071343,3655.3850037636657
2025-02-08,20597.525186740553,5.309839345990497e-11,1.5731860258938468e-11,1298.8024358260914,1211.7844650768466,-212.89830316048852,106.44915158024426,19492.18987324395,20087.147880134693,0.0,20597.525186740608,1984.4969365015447,2303.538867022521,2875.114823381364,3551.131469881031
2025-02-09,57247.60558257633,7.461426887456213e-11,1.8728463224704228e-11,2236.964943432116,227.69116703532,-1343.1086380758034,671.5543190379017,57691.46873457891,56500.15420785999,0.0,57247.605582576405,2303.538867022521,2149.3590182767193,4978.693006844442,3981.789851687764
2025-02-10,53771.07034668508,4.3966138493778395e-11,1.1786988052264746e-11,8740.117603600369,1691.0992493754761,-5277.959275597528,2638.979637798764,54718.95073510837,50568.3909590945,0.0,53771.07034668513,2149.3590182767193,2026.4888118913452,2291.4916778011775,4117.412216475992
