date,update_hour,interval,previous_kwh,new_kwh,increase_kwh,decrease_kwh,price
2025-02-01,6,36,0.0,0.0,0.0,0.0,0.9368
2025-02-01,6,37,0.0,0.0,0.0,0.0,0.8758
2025-02-01,6,38,0.0,0.0,0.0,0.0,0.8759
2025-02-01,6,39,0.0,0.0,0.0,0.0,0.8601
2025-02-01,6,40,0.0,0.0,0.0,0.0,0.8442
2025-02-01,6,41,0.0,0.0,0.0,0.0,0.8334
2025-02-01,6,42,0.0,0.0,0.0,0.0,0.8092
2025-02-01,6,43,0.0,0.0,0.0,0.0,0.7972
2025-02-01,6,44,0.0,0.0,0.0,0.0,0.7644
2025-02-01,6,45,0.0,0.0,0.0,0.0,0.6899
2025-02-01,6,46,0.0,0.0,0.0,0.0,0.86
2025-02-01,6,47,0.0,0.0,0.0,0.0,1.1617
2025-02-01,6,48,0.0,0.0,0.0,0.0,1.1683
2025-02-01,6,49,0.0,0.0,0.0,0.0,1.0956
2025-02-01,6,50,0.0,0.0,0.0,0.0,1.0849
2025-02-01,6,51,0.0,0.0,0.0,0.0,1.061
2025-02-01,6,52,0.0,0.0,0.0,0.0,1.043
2025-02-01,6,53,0.0,0.0,0.0,0.0,1.036
2025-02-01,6,54,0.0,0.0,0.0,0.0,1.0147
2025-02-01,6,55,0.0,0.0,0.0,0.0,0.9922
2025-02-01,6,56,0.0,0.0,0.0,0.0,0.97
2025-02-01,6,57,0.0,0.0,0.0,0.0,0.9422
2025-02-01,6,58,0.0,0.0,0.0,0.0,0.9569
2025-02-01,6,59,0.0,0.0,0.0,0.0,0.9977
2025-02-01,6,60,0.0,0.0,0.0,0.0,0.9919
2025-02-01,6,61,0.0,0.0,0.0,0.0,0.9588
2025-02-01,6,62,0.0,0.0,0.0,0.0,0.9549
2025-02-01,6,63,0.0,0.0,0.0,0.0,0.9839
2025-02-01,6,64,0.0,0.0,0.0,0.0,0.799
2025-02-01,6,65,0.0,0.0,0.0,0.0,0.5025
2025-02-01,6,66,0.0,0.0,0.0,0.0,0.4662
2025-02-01,6,67,0.0,0.0,0.0,0.0,0.5007
2025-02-01,6,68,0.0,0.0,0.0,0.0,0.4827
2025-02-01,6,69,0.0,0.0,0.0,0.0,0.4785
2025-02-01,6,70,0.0,0.0,0.0,0.0,0.4662
2025-02-01,6,71,294.6894165095557,0.0,0.0,294.6894165095557,0.4432
2025-02-01,6,72,536.4561388888889,0.0,0.0,536.4561388888889,0.4411
2025-02-01,6,73,0.0,0.0,0.0,0.0,0.4551
2025-02-01,6,74,0.0,0.0,0.0,0.0,0.4463
2025-02-01,6,75,567.3943888888888,0.0,0.0,567.3943888888888,0.4113
2025-02-01,6,76,0.0,0.0,0.0,0.0,0.5682
2025-02-01,6,77,0.0,0.0,0.0,0.0,0.8279
2025-02-01,6,78,0.0,0.0,0.0,0.0,0.8636
2025-02-01,6,79,0.0,0.0,0.0,0.0,0.8416
2025-02-01,6,80,0.0,0.0,0.0,0.0,0.8618
2025-02-01,6,81,0.0,0.0,0.0,0.0,0.8623
2025-02-01,6,82,0.0,0.0,0.0,0.0,0.9026
2025-02-01,6,83,0.0,0.0,0.0,0.0,0.9754
2025-02-01,6,84,0.0,0.0,0.0,0.0,1.0002
2025-02-01,6,85,0.0,0.0,0.0,0.0,0.9978
2025-02-01,6,86,0.0,0.0,0.0,0.0,1.0271
2025-02-01,6,87,0.0,0.0,0.0,0.0,1.0906
2025-02-01,6,88,0.0,0.0,0.0,0.0,0.9376
2025-02-01,6,89,224.59501666666654,0.0,0.0,224.59501666666654,0.6694
2025-02-01,6,90,688.8956018518525,86.83905555555543,0.0,602.056546296297,0.66
2025-02-01,6,91,235.34170277777787,144.68108611111114,0.0,90.66061666666673,0.7217
2025-02-01,6,92,309.40295,158.20236666666676,0.0,151.2005833333332,0.7308
2025-02-01,6,93,370.852247222222,223.74113055555546,0.0,147.11111666666653,0.7534
2025-02-01,6,94,384.1969027744,247.7344611111111,0.0,136.46244166328887,0.7823
2025-02-01,6,95,393.97778333333326,261.57418333333334,0.0,132.40359999999993,0.8055
2025-02-01,6,96,397.72555833333314,303.14970675697043,0.0,94.57585157636271,0.8271
2025-02-01,6,97,440.4754138888891,323.49664444444437,0.0,116.97876944444471,0.8519
2025-02-01,6,98,461.9158,414.58744356999836,0.0,47.328356430001634,0.8791
2025-02-01,6,99,514.5579583333331,436.2302472222223,0.0,78.32771111111077,0.9024
2025-02-01,6,100,468.6381273888896,433.8705696666671,0.0,34.76755772222248,0.9163
2025-02-01,6,101,423.02315939643256,423.02315939643256,0.0,0.0,0.9264
2025-02-01,6,102,449.1497916666666,427.3352666666667,0.0,21.81452499999989,0.9462
2025-02-01,6,103,451.09463333333326,449.90836589388283,0.0,1.1862674394504324,0.9742
2025-02-01,6,104,453.5883581525524,453.5883581525524,0.0,0.0,0.9862
2025-02-01,6,105,478.5838333333333,478.5838333333333,0.0,0.0,0.976
2025-02-01,6,106,454.4044888888887,451.1235666666665,0.0,3.280922222222216,1.0742
2025-02-01,6,107,0.0,0.0,0.0,0.0,1.2313
2025-02-01,6,108,0.0,0.0,0.0,0.0,1.2561
2025-02-01,6,109,0.0,0.0,0.0,0.0,1.2447
2025-02-01,6,110,0.0,0.0,0.0,0.0,1.2545
2025-02-01,6,111,0.0,0.0,0.0,0.0,1.2522
2025-02-01,6,112,0.0,0.0,0.0,0.0,1.2881
2025-02-01,6,113,0.0,0.0,0.0,0.0,1.3466
2025-02-01,6,114,0.0,0.0,0.0,0.0,1.3523
2025-02-01,6,115,0.0,0.0,0.0,0.0,1.3445
2025-02-01,6,116,0.0,0.0,0.0,0.0,1.3483
2025-02-01,6,117,0.0,0.0,0.0,0.0,1.349
2025-02-01,6,118,0.0,0.0,0.0,0.0,1.3473
2025-02-01,6,119,0.0,0.0,0.0,0.0,1.3482
2025-02-01,6,120,0.0,0.0,0.0,0.0,1.3513
2025-02-01,6,121,0.0,0.0,0.0,0.0,1.34
2025-02-01,6,122,0.0,0.0,0.0,0.0,1.3489
2025-02-01,6,123,0.0,0.0,0.0,0.0,1.3952
2025-02-01,6,124,3.395717489713377,3.395717489713377,0.0,0.0,1.2226
2025-02-01,6,125,512.2516666666666,512.2516666666666,0.0,0.0,0.9332
2025-02-01,6,126,491.79276584362145,491.79276584362145,0.0,0.0,0.9068
2025-02-01,6,127,466.33100833333333,466.33100833333333,0.0,0.0,0.9371
2025-02-01,6,128,491.4808333333333,491.4808333333333,0.0,0.0,0.9371
2025-02-01,6,129,456.75252499999976,456.75252499999976,0.0,0.0,0.9871
2025-02-01,6,130,446.15094166666654,446.15094166666654,0.0,0.0,0.7764
2025-02-01,6,131,447.3541666666666,447.3541666666666,0.0,0.0,0.4209
2025-02-01,6,132,610.2934764403295,610.2934764403295,0.0,0.0,0.3859
2025-02-01,6,133,429.71306666666675,429.71306666666675,0.0,0.0,0.4368
2025-02-01,6,134,461.7875,461.7875,0.0,0.0,0.4198
2025-02-01,6,135,437.8061166666667,437.8061166666667,0.0,0.0,0.4186
2025-02-01,6,136,423.7971333333333,423.7971333333333,0.0,0.0,0.4241
2025-02-01,6,137,393.55749999999995,393.55749999999995,0.0,0.0,0.4237
2025-02-01,6,138,420.60845833333326,420.60845833333326,0.0,0.0,0.4248
2025-02-01,6,139,427.1534416666666,427.1534416666666,0.0,0.0,0.424
2025-02-01,6,140,434.0183333333333,434.0183333333333,0.0,0.0,0.422
2025-02-01,6,141,419.6926166666666,419.6926166666666,0.0,0.0,0.424
2025-02-01,6,142,502.7386083333332,502.7386083333332,0.0,0.0,0.4271
2025-02-01,6,143,602.125,602.125,0.0,0.0,0.4276
2025-02-01,12,72,0.0,0.0,0.0,0.0,0.4411
2025-02-01,12,73,0.0,0.0,0.0,0.0,0.4551
2025-02-01,12,74,0.0,0.0,0.0,0.0,0.4463
2025-02-01,12,75,0.0,0.0,0.0,0.0,0.4113
2025-02-01,12,76,0.0,0.0,0.0,0.0,0.5682
2025-02-01,12,77,0.0,0.0,0.0,0.0,0.8279
2025-02-01,12,78,0.0,0.0,0.0,0.0,0.8636
2025-02-01,12,79,0.0,0.0,0.0,0.0,0.8416
2025-02-01,12,80,0.0,0.0,0.0,0.0,0.8618
2025-02-01,12,81,0.0,0.0,0.0,0.0,0.8623
2025-02-01,12,82,0.0,0.0,0.0,0.0,0.9026
2025-02-01,12,83,0.0,0.0,0.0,0.0,0.9754
2025-02-01,12,84,0.0,0.0,0.0,0.0,1.0002
2025-02-01,12,85,0.0,0.0,0.0,0.0,0.9978
2025-02-01,12,86,0.0,0.0,0.0,0.0,1.0271
2025-02-01,12,87,0.0,0.0,0.0,0.0,1.0906
2025-02-01,12,88,0.0,0.0,0.0,0.0,0.9376
2025-02-01,12,89,0.0,0.0,0.0,0.0,0.6694
2025-02-01,12,90,86.83905555555543,86.83905555555543,0.0,0.0,0.66
2025-02-01,12,91,144.68108611111114,103.00681759259209,0.0,41.67426851851906,0.7217
2025-02-01,12,92,158.20236666666676,157.87144999999987,0.0,0.33091666666689434,0.7308
2025-02-01,12,93,223.74113055555546,223.74113055555546,0.0,0.0,0.7534
2025-02-01,12,94,247.7344611111111,247.7344611111111,0.0,0.0,0.7823
2025-02-01,12,95,261.57418333333334,261.57418333333334,0.0,0.0,0.8055
2025-02-01,12,96,303.14970675697043,303.14970675697043,0.0,0.0,0.8271
