date,hour,status,gap,objective,seconds,nodes,leaves,variables,integer_pairs,row_error,bound_error,fallback,history
2025-02-01,0,Optimal,0.00030584976528808764,24860.67752614872,0.36014249999425374,16,7,7288,14,1.8189894035458565e-12,4.547473508864641e-13,False,"[9, 11, 13, 24, 26, 19, 22]"
2025-02-01,6,Optimal,0.0,-1674.2358672907037,0.030028300010599196,9,5,4329,0,9.094947017729282e-13,0.0,False,"[28, 30, 27, 10, 14, 23, 8]"
2025-02-01,12,Optimal,0.0007627303713589575,289.92693751237664,0.3527829000086058,4,3,2128,8,1.3244960683778118e-12,0.0,False,"[20, 23, 11, 26, 22, 15, 14]"
2025-02-01,18,Optimal,0.0008819119034177004,151.77278370592393,0.07999520000885241,1,1,757,6,9.094947017729282e-13,5.699170862242167e-14,False,"[28, 25, 24, 27, 26, 12, 13]"
2025-02-02,0,Optimal,0.0003748892803375891,57459.34752652166,0.40212119999341667,17,7,7649,13,9.094947017729282e-13,4.547473508864641e-13,False,"[31, 20, 16, 24, 26, 19, 22]"
2025-02-02,6,Optimal,3.035268139262135e-14,14.982114594890788,0.36639429998467676,10,6,4582,1,2.2737367544323206e-12,0.0,False,"[28, 30, 27, 14, 31, 23, 8]"
2025-02-02,12,Optimal,0.0009413283088389692,833.2351438135129,0.4164302999852225,4,3,2128,8,9.094947017729282e-13,1.517682654453526e-14,False,"[29, 30, 11, 21, 26, 27, 14]"
2025-02-02,18,Optimal,0.0008430818073291349,429.9287928326407,0.0940790000022389,1,1,757,3,1.0231815394945443e-12,0.0,False,"[28, 11, 24, 27, 26, 12, 16]"
2025-02-03,0,Optimal,0.0003113887089120822,59498.92153267613,0.4190567000187002,16,7,7288,14,9.094947017729282e-13,9.094947017729282e-13,False,"[25, 12, 21, 10, 26, 19, 22]"
2025-02-03,6,Optimal,0.00038683371710786235,-1598.6856943663481,0.1886520000116434,9,5,4329,1,2.2737367544323206e-12,0.0,False,"[28, 29, 27, 10, 31, 19, 8]"
2025-02-03,12,Optimal,0.0006089503467896669,-353.28640017840394,0.7748691999877337,4,3,2128,6,1.7210924043966872e-12,0.0,False,"[31, 18, 23, 16, 26, 27, 14]"
2025-02-03,18,Optimal,0.0006517237616520848,581.237082273849,0.13141560001531616,1,1,757,4,6.821210263296962e-13,0.0,False,"[30, 22, 10, 27, 18, 12, 16]"
2025-02-04,0,Optimal,0.0002390744527516558,61009.49592809039,0.4213356999971438,17,7,7649,14,3.637978807091713e-12,6.821210263296962e-13,False,"[32, 17, 27, 28, 23, 19, 22]"
2025-02-04,6,Optimal,0.0,-1753.042922868567,0.36389870001585223,10,6,4582,3,2.1600499167107046e-12,0.0,False,"[28, 32, 30, 13, 31, 19, 8]"
2025-02-04,12,Optimal,0.0006488429224825787,-950.13735746285,1.7360784000193235,4,3,2128,10,2.1600499167107046e-12,4.480952206903954e-12,False,"[31, 33, 30, 11, 26, 27, 14]"
2025-02-04,18,Optimal,0.0,722.4755779125502,0.10804829999688081,1,1,757,2,7.958078640513122e-13,0.0,False,"[32, 20, 29, 23, 18, 12, 16]"
2025-02-05,0,Optimal,0.0002714934927931387,57298.50077154135,0.4045437000168022,17,7,7649,13,9.094947017729282e-13,2.2737367544323206e-13,False,"[33, 9, 11, 13, 30, 29, 22]"
2025-02-05,6,Optimal,0.000344881343564589,3071.789456921531,0.34202640000148676,10,6,4582,13,5.4569682106375694e-12,1.1368683772161603e-13,False,"[28, 32, 30, 27, 14, 18, 8]"
2025-02-05,12,Optimal,0.0,1045.590430723123,0.29228460000013,4,3,2128,19,8.753886504564434e-12,1.4210854715202004e-13,False,"[31, 18, 34, 11, 21, 10, 14]"
2025-02-05,18,Optimal,0.00028335234486260625,470.4661904950525,0.12575800000922754,1,1,757,5,7.958078640513122e-13,0.0,False,"[34, 28, 25, 24, 23, 8, 16]"
2025-02-06,0,Optimal,0.00046868394624224055,61039.568334666714,0.34316829999443144,16,7,7288,14,9.094947017729282e-13,4.547473508864641e-13,False,"[33, 9, 20, 16, 24, 8, 18]"
2025-02-06,6,Optimal,0.0005897961672600919,-1858.4472255536155,1.0251049000071362,10,6,4582,7,1.8189894035458565e-12,2.2737367544323206e-13,False,"[35, 34, 33, 20, 10, 31, 22]"
2025-02-06,12,Optimal,0.0005709296771495287,-1465.0249564806027,0.13453350000781938,4,3,2128,2,9.094947017729282e-13,0.0,False,"[31, 33, 23, 19, 16, 22, 15]"
2025-02-06,18,Optimal,0.0006789424552236525,366.68631373715897,0.17833409999730065,1,1,757,5,6.252776074688882e-13,1.1368683772161603e-13,False,"[34, 28, 19, 15, 9, 26, 16]"
2025-02-07,0,Optimal,0.00081106226418958,22994.018604543442,0.39547659998061135,18,7,8010,12,9.094947017729282e-13,2.2737367544323206e-13,False,"[34, 31, 12, 21, 10, 26, 18]"
2025-02-07,6,Optimal,0.0001837557733226396,-555.2252498692621,0.3200271000096109,9,5,4329,4,8.526512829121202e-13,0.0,False,"[35, 34, 30, 26, 13, 31, 23]"
2025-02-07,12,Optimal,0.0,-466.1012167760061,0.10190619999775663,4,3,2128,1,9.094947017729282e-13,5.749002942336914e-14,False,"[31, 33, 23, 34, 28, 26, 15]"
2025-02-07,18,Optimal,0.00038599824926637975,100.61951459414708,0.12790510000195354,1,1,757,6,7.389644451905042e-13,5.684341886080802e-14,False,"[34, 33, 22, 29, 27, 18, 16]"
