mode,plan_fee_yuan,emergency_fee_yuan,emergency_kwh,adjustment_abs_kwh,increase_fee_yuan,refund_yuan,decrease_penalty_yuan,base_plan_fee_yuan,final_contract_fee_yuan,bill_identity_error_yuan,total_fee_yuan,start_soc_kwh,end_soc_kwh,unused_kwh,conversion_loss_kwh,date
adaptive,42551.56239423426,1813.6833415888195,417.76656448966617,6298.4215234591165,1443.810714127262,-3304.9589023451717,1652.4794511725856,42760.23113127958,40417.812705019256,-7.275957614183426e-12,44365.24573582308,2023.6312844798867,1698.6992295714958,130.80693797732044,4030.22839897943,2025-03-20
frozen,43664.31900480726,4.726670699284341e-11,1.3057777081826316e-11,6225.40471712095,1677.7298959609836,-2975.058803404165,1487.5294017020824,43474.11851054835,41617.54630445151,7.275957614183426e-12,43664.3190048073,2404.863342291609,2125.9597676202425,1992.9217678670857,3959.703850824232,2025-03-20
rolling,43411.69390662057,37.8570773778222,17.562911111124006,4647.146732951204,1931.7124091313528,-1816.3979322985035,908.1989661492516,42388.18046363847,41859.5908040942,-7.275957614183426e-12,43449.55098399839,2071.530404234789,1995.5965364652616,2199.443563304503,4074.769257649495,2025-03-20
adaptive,21333.351870982297,1.5521731455692135e-11,4.638067707674054e-12,2523.8897797130444,297.0441620464887,-2755.199207308852,1377.5996036544257,22413.90731259024,19856.73754664571,0.0,21333.35187098231,2820.159781980329,3298.262210364609,12928.254491916565,2467.772853956548,2025-06-21
frozen,21731.3455106436,2.1207498757114253e-11,6.779243832966131e-12,1985.4456525173891,304.6991278197759,-2030.017138361117,1015.0085691805584,22441.654952004385,20614.77056552312,0.0,21731.345510643623,3204.78210003556,3773.659721115014,13720.515485287113,2384.372258378742,2025-06-21
rolling,20763.695873988803,1.646362957075098e-11,5.466738173254271e-12,179.87753756081236,207.06145913423933,-36.30906325116586,18.15453162558293,20574.78894648015,20676.520855985145,-3.637978807091713e-12,20763.69587398882,3018.748588710883,3584.50663552732,13696.662528894198,2413.41809366945,2025-06-21
adaptive,44317.64001011369,5.224689214600176e-11,1.4291678951394715e-11,5956.29365597127,0.0,-4422.898027123393,2211.4490135616966,46529.08902367539,42106.190996552,0.0,44317.64001011374,2553.8322457312843,2181.454359402135,970.1932274669502,4087.249726050112,2025-09-23
frozen,45619.57965204182,4.500967420995039e-11,1.3087309014281344e-11,4451.9536772804695,4.137365735910017,-2922.6623378724203,1461.33116893621,47076.77345524213,44156.86936119365,-7.275957614183426e-12,45619.579652041866,2900.544126582684,2689.551155388486,3879.361052138759,3855.00741318813,2025-09-23
rolling,44267.048451885945,4.4747454630567055e-11,1.2957634965005129e-11,2034.1276301540604,599.2882066419978,-937.8381422085256,468.91907110426285,44136.67931634821,43598.36664523435,-7.275957614183426e-12,44267.04845188599,2444.878131036477,2257.154350164988,3113.0118487893646,3772.4213701614017,2025-09-23
adaptive,64084.70393435546,1273.7856405342302,515.7584574411459,5151.500365738712,1031.479983042634,-3036.107565178564,1518.0537825892818,64571.27773390212,62222.82349075198,-7.275957614183426e-12,65358.489574889696,1507.2507253370454,1660.5867391268027,3116.4655768136786,4344.969808311919,2025-12-21
frozen,64146.31033048104,26.726909205625383,4.601344444461614,3696.428181448941,570.6342082219713,-2405.4741205315318,1202.7370602657656,64778.41318252483,62753.36186747462,0.0,64173.037239686666,1772.7550324458225,2004.657923956761,4021.384337347373,4627.267224659363,2025-12-21
rolling,64199.19492598378,191.09320693616328,43.08963055556867,3641.781501285956,2144.1588401675126,-1424.2639237182432,712.1319618591216,62767.16804767539,62772.343350735486,0.0,64390.28813291994,1743.5031968533117,1876.6840150711455,4165.594703805919,4528.538892185399,2025-12-21
