date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
2025-02-01,23544.718963984415,23396.87149864438,0.0,0,0.0,147.84746534004015,86.84138933334512,14120.500653624911,1200.0,4422.807010696496,0
2025-02-02,65826.1434300242,65771.91158252416,0.0,0,0.0,54.23184750004514,22.965000000011614,9196.906522413725,4422.807010696496,5459.470269372613,0
2025-02-03,62981.601655163235,62841.49126995292,0.0,0,0.0,140.1103852103277,60.53566398151025,4304.811391144404,5459.470269372613,3301.2037757355033,0
2025-02-04,63468.354297088714,63466.7668862553,0.0,0,0.0,1.5874108334001693,0.7783333333493367,3276.121956472483,3301.2037757355033,2448.390946699968,0
2025-02-05,63389.71223909791,63366.37496476453,0.0,0,0.0,23.33727433339638,10.84445833334887,3009.687208411007,2448.390946699968,2519.272581503408,0
2025-02-06,64119.22660804689,64119.226608046854,0.0,0,0.0,5.102338292584802e-11,1.0678858838875094e-11,4284.607609166109,2519.272581503408,3176.0868546296297,0
2025-02-07,17462.29100567361,17462.291005673585,0.0,0,0.0,3.402963111298618e-11,1.2451373265776056e-11,6846.11872734388,3176.0868546296297,2039.5080125000022,0
2025-02-08,17517.297440950708,17517.29744095068,0.0,0,0.0,3.530330947021376e-11,1.2257882209265603e-11,5855.454133170012,2039.5080125000022,2451.362269312166,0
2025-02-09,62137.785450242816,62137.78545024273,0.0,0,0.0,8.714016930255753e-11,1.943734062592739e-11,1680.4294857120485,2451.362269312166,3566.8630330487695,0
2025-02-10,60199.85339331753,60199.85339331749,0.0,0,0.0,4.017581262116821e-11,1.1071699113074374e-11,7807.334620356421,3566.8630330487695,3473.1742932515235,0
2025-02-11,60084.00505049537,60084.00505049531,0.0,0,0.0,6.967454833917142e-11,1.5239448591941596e-11,6159.807708333738,3473.1742932515235,3720.971995759442,0
2025-02-12,58959.310193325786,58959.31019332573,0.0,0,0.0,5.4741391891655055e-11,1.3097134488049278e-11,5137.458637096705,3720.971995759442,3288.2827199203793,0
2025-02-13,55206.71981694319,55206.71981694312,0.0,0,0.0,7.033331916872498e-11,1.6433077121291717e-11,4944.2281522931235,3288.2827199203793,2765.6032978586027,0
2025-02-14,16667.479071352926,14158.871188491737,0.0,0,0.0,2508.607882861188,565.8955199307253,2183.1852950396956,2765.6032978586027,1304.2953851234568,0
2025-02-15,17239.16032965465,15274.624964137769,0.0,0,0.0,1964.5353655168853,477.28462198612146,2851.4669866132795,1304.2953851234568,1200.0,0
2025-02-16,58220.36960736983,53947.17736309328,0.0,0,0.0,4273.192244276554,778.576749264922,183.4529174603341,1200.0,1333.089444645062,0
2025-02-17,54849.03960010222,54849.03960010218,0.0,0,0.0,5.083349341461485e-11,1.3519851904675306e-11,4758.078075582009,1333.089444645062,2078.4753650302205,0
2025-02-18,53211.11413425475,53211.114134254705,0.0,0,0.0,7.515127609103445e-11,1.908606606093599e-11,2579.7114996031564,2078.4753650302205,2523.493548905072,0
2025-02-19,53731.224045815405,52007.18787468024,0.0,0,0.0,1724.036171135171,413.7441357767218,1779.2947573412882,2523.493548905072,1200.0,0
2025-02-20,52338.817568318926,52338.81756831889,0.0,0,0.0,5.623598831050458e-11,1.2743583965857397e-11,1897.855283060459,1200.0,1651.3555502011493,0
